,skin_agg,gender_agg,skin,gender,skin_group,annId,area,split
138639,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+12,5905,val
136715,"['2', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+12,9255,val
134322,"['Unsure', 'Unsure', 'Unsure', '1']","['Unsure', 'Unsure', 'Unsure', 'Male']",Unsure,Unsure,Unsure,9.001E+12,14749,val
133244,"['3', 'Unsure', 'Unsure']","['Male', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+12,45405,val
126137,"['3', 'Unsure', 'Unsure']","['Male', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.001E+12,15523,val
572620,"['2', 'Unsure', '1']","['Male', 'Unsure', 'Male']",,Male,,9.00101E+11,17850,val
570756,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,6257,val
570688,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,15845,val
563648,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,37396,val
561958,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,16214,val
559842,"['Unsure', 'Unsure', '1']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,16355,val
559348,"['Unsure', '2', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,6707,val
558114,"['6', '4', 'Unsure']","['Male', 'Male', 'Unsure']",,Male,,9.00101E+11,94512,val
546823,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,11806,val
542127,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,5616,val
541123,"['Unsure', 'Unsure', '4']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,52328,val
540414,"['6', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,11388,val
524850,"['Unsure', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,7532,val
521259,"['Unsure', 'Unsure', '3']","['Unsure', 'Unsure', 'Male']",Unsure,Unsure,Unsure,9.00101E+11,8855,val
520659,"['4', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,9.00101E+11,12581,val
509014,"['2', 'Unsure', '2']","['Unsure', 'Unsure', 'Unsure']",2,Unsure,Light,9.00101E+11,5767,val
