,image_file,acc,Unnamed: 0,skin_agg,gender_agg,skin,gender,skin_group,area,split
0,184249,1.0,69213,"['5', '4', '4']","['Male', 'Male', 'Male']",4,Male,Dark,68822,val
1,185727,1.0,458992,"['1', '2', '1', '2', '1', '1', '1', '2', '1']","['Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female']",1,Female,Light,119652,val
2,185727,1.0,458992,"['1', '1', '2', '2', '1', '2', '1', '1', '1', '1', '2', '2', '1', '2', '1', '2', '1', '2', '2', '2', '1', '2', '1', '1', '2', '2', '1', '2', '2', '1', '1', '1', '1', '2', '1', '1', '2', '2', '1', '1', '1', '1', '2', '1', '1', '2', '1', '2', '2', '1', '2', '1', '1', '2', '2', '2', '2', '1', '2', '1', '2', '1', '2', '2', '1', '2', '2', '1', '1', '1', '2', '2', '1', '2', '1', '2', '1', '1', '1', '1', '2', '1', '1', '2', '1', '2', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '2', '1', '1', '2', '1', '2', '1', '2', '1', '1', '2', '2', '1', '1', '1', '1', '1']","['Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female']",1,Female,Light,119652,val
3,186174,0.7692307692307693,481567,"['1', '1', '2', '1']","['Male', 'Male', 'Male', 'Male']",1,Male,Light,11063,val
4,186234,1.0,251140,"['2', '3', '1']","['Male', 'Male', 'Male']",,Male,Light,7688,val
5,190623,1.0,69213,"['5', '4', '4']","['Male', 'Male', 'Male']",4,Male,Dark,59322,val
6,191766,1.0,357737,"['1', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,37621,val
7,192078,0.8,38829,"['4', '3', '1']","['Male', 'Male', 'Male']",,Male,,16965,val
8,192257,0.8,494869,"['Unsure', '2', '2']","['Unsure', 'Unsure', 'Female']",2,Unsure,Light,18491,val
9,192816,0.9230769230769232,329219,"['1', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,18642,val
10,194096,0.9375,380706,"['2', 'Unsure', 'Unsure']","['Unsure', 'Unsure', 'Unsure']",Unsure,Unsure,Unsure,8515,val
11,194132,1.0,546976,"['1', '1']","['Male', 'Male']",1,Male,Light,45399,val
12,195981,0.8823529411764706,122166,"['2', '1', '3']","['Unsure', 'Female', 'Female']",,Female,Light,6950,val
13,196147,1.0,394199,"['1', '1', '2']","['Female', 'Female', 'Female']",1,Female,Light,101932,val
14,200662,1.0,424162,"['2', '2', '1']","['Female', 'Female', 'Female']",2,Female,Light,18114,val
15,200887,1.0,397133,"['Unsure', 'Unsure', '1']","['Unsure', 'Unsure', 'Male']",Unsure,Unsure,Unsure,17376,val
16,205190,0.9333333333333332,445834,"['1', '2', '2']","['Unsure', 'Male', 'Male']",2,Male,Light,12416,val
17,209675,1.0,17899,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,54516,val
18,210632,1.0,93437,"['3', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,74462,val
19,213188,0.75,534605,"['1', 'Unsure', '1']","['Male', 'Unsure', 'Male']",1,Male,Light,19606,val
20,214252,1.0,176857,"['1', '1', '2']","['Female', 'Female', 'Female']",1,Female,Light,6495,val
21,216341,0.8571428571428571,292456,"['2', '1', '2']","['Male', 'Male', 'Male']",2,Male,Light,6855,val
22,228697,0.8823529411764706,481386,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,47194,val
23,231268,1.0,461751,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,49906,val
24,234903,0.8181818181818182,38829,"['Unsure', '5', '4']","['Female', 'Unsure', 'Female']",,Female,,8692,val
25,236826,1.0,445834,"['2', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,7988,val
26,255907,1.0,177934,"['2', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,5650,val
27,423295,1.0,492362,"['1', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,38494,val
28,424416,1.0,202228,"['1', '1', '2']","['Male', 'Male', 'Male']",1,Male,Light,33080,val
29,425686,1.0,54654,"['2', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,87635,val
30,426323,1.0,211825,"['1', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,81082,val
31,426991,0.9411764705882352,173799,"['5', '4', '5']","['Male', 'Male', 'Male']",5,Male,Dark,13790,val
32,427342,1.0,365642,"['1', '1', '2']","['Unsure', 'Female', 'Unsure']",1,Unsure,Light,63896,val
33,428335,1.0,297353,"['2', '2', '1']","['Male', 'Male', 'Male']",2,Male,Light,40057,val
34,429200,1.0,492362,"['1', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,14025,val
35,431824,1.0,297578,"['5', '3', '3']","['Male', 'Male', 'Male']",3,Male,Light,28352,val
36,434402,1.0,299887,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,44840,val
37,434478,1.0,333745,"['1', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,29941,val
38,437938,0.7647058823529411,481573,"['2', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,48560,val
39,442601,1.0,173008,"['1', '2', '1']","['Male', 'Male', 'Male']",1,Male,Light,68865,val
40,447686,0.7333333333333333,16249,"['3', '2', '1']","['Male', 'Male', 'Male']",,Male,Light,13752,val
41,451486,0.5714285714285714,485844,"['Unsure', 'Unsure', '1']","['Female', 'Female', 'Female']",Unsure,Female,Unsure,27716,val
42,451710,0.7,232563,"['5', '4', '5']","['Male', 'Male', 'Male']",5,Male,Dark,104581,val
43,452193,0.8571428571428571,479126,"['4', '4', '1']","['Female', 'Female', 'Female']",4,Female,Dark,26343,val
44,452595,0.875,8211,"['2', '3', '5']","['Male', 'Male', 'Male']",,Male,,6823,val
45,452702,0.9333333333333332,16249,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,5683,val
46,454311,1.0,346703,"['1', '2', '1']","['Male', 'Male', 'Male']",1,Male,Light,77309,val
47,456804,1.0,520910,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,16138,val
48,458683,0.8888888888888888,281032,"['2', '2']","['Male', 'Male']",2,Male,Light,70404,val
49,462274,1.0,117425,"['2', '2', '1', '1', '1']","['Male', 'Male', 'Male', 'Male', 'Male']",1,Male,Light,67152,val
50,462820,0.9333333333333332,467511,"['1', '1', '2']","['Female', 'Female', 'Male']",1,,Light,31407,val
51,463533,1.0,346703,"['2', '1', '2']","['Female', 'Female', 'Female']",2,Female,Light,27040,val
52,463803,1.0,314177,"['2', '2']","['Unsure', 'Unsure']",2,Unsure,Light,33539,val
53,464125,1.0,466986,"['3', '3', '2', '2', '4', '4']","['Male', 'Male', 'Male', 'Male', 'Male', 'Male']",3,Male,Light,31657,val
54,464900,1.0,229358,"['2', '3', '1']","['Male', 'Male', 'Male']",,Male,Light,8741,val
55,466991,0.8666666666666667,144333,"['1', '3', '1']","['Female', 'Female', 'Female']",1,Female,Light,25573,val
56,468452,1.0,527750,"['1', '2', '2', '2']","['Unsure', 'Unsure', 'Female', 'Female']",2,Unsure,Light,19792,val
57,469280,1.0,170099,"['3', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,89708,val
58,471845,1.0,84241,"['2', '2', '1']","['Female', 'Female', 'Female']",2,Female,Light,36807,val
59,472586,1.0,262895,"['3', '3', '2']","['Male', 'Male', 'Male']",3,Male,Light,141663,val
60,472966,0.9090909090909092,384808,"['1', '1', '3']","['Male', 'Male', 'Male']",1,Male,Light,28876,val
61,473918,0.9333333333333332,8211,"['2', '3', '4', '3', 'Unsure']","['Male', 'Male', 'Male', 'Male', 'Unsure']",3,Male,Light,7140,val
62,477144,1.0,123480,"['2', '4', '1']","['Male', 'Male', 'Male']",,Male,,58655,val
63,477234,0.8,3156,"['2', 'Unsure', '2']","['Male', 'Male', 'Male']",2,Male,Light,126586,val
64,479439,1.0,237118,"['2', '2', '2']","['Male', 'Male', 'Male']",2,Male,Light,66533,val
65,480587,1.0,561256,"['1', '2', '1']","['Female', 'Female', 'Female']",1,Female,Light,52687,val
66,481702,1.0,489339,"['3', '1', '3']","['Female', 'Female', 'Female']",3,Female,Light,53520,val
67,481918,1.0,252219,"['3', '2', '1']","['Male', 'Male', 'Male']",,Male,Light,8511,val
68,482539,1.0,474095,"['2', 'Unsure', '1']","['Male', 'Male', 'Male']",,Male,,65901,val
69,484032,1.0,504074,"['Unsure', 'Unsure', '3']","['Female', 'Unsure', 'Female']",Unsure,Female,Unsure,12525,val
70,485625,0.8181818181818182,398905,"['4', '5', '3']","['Male', 'Male', 'Male']",,Male,Dark,52525,val
71,489768,0.9333333333333332,252219,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,8349,val
72,493157,1.0,58705,"['1', '2', '1']","['Male', 'Male', 'Male']",1,Male,Light,78786,val
73,495620,1.0,22371,"['1', '1', '1']","['Male', 'Male', 'Male']",1,Male,Light,34886,val
74,495624,0.9333333333333332,252219,"['6', '1', '6']","['Male', 'Female', 'Male']",6,,Dark,11337,val
75,495704,1.0,66231,"['3', '3', '2']","['Male', 'Male', 'Male']",3,Male,Light,14708,val
76,498835,1.0,58705,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,76290,val
77,501765,0.875,508370,"['6', '6', 'Unsure']","['Male', 'Male', 'Male']",6,Male,Dark,35802,val
78,511480,1.0,25096,"['1', 'Unsure', '2']","['Male', 'Male', 'Male']",,Male,,37708,val
79,512629,1.0,33638,"['1', '1', '1']","['Female', 'Female', 'Female']",1,Female,Light,13368,val
80,514707,1.0,465179,"['1', '2', '1']","['Female', 'Female', 'Female']",1,Female,Light,76487,val
81,516984,1.0,507473,"['1', '2', '2']","['Female', 'Female', 'Female']",2,Female,Light,117465,val
