group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
Male,Female,400,400,1,0.07,0.63,,,,-0.011332918271474987,0.011724450636170912,0.00020980265649428453
Male,Female,800,800,2,0.32,0.92,,,,-0.009882930070338448,0.006443833321498848,-0.0012435841323710228
Male,Female,1200,1200,3,0.47,0.96,,,,-0.010110141150721097,0.0044172176526483635,-0.002824078971139121
Male,Female,1600,1600,4,0.73,0.97,,,,-0.008632207902648872,0.0033854417386088506,-0.002752123030158371
Male,Female,2000,2000,5,0.76,0.99,,,,-0.008770097222021303,0.0017320619841749395,-0.003740373433757993
Male,Female,2400,2400,6,0.8,0.99,,,,-0.008293752822614178,0.0014816519673124832,-0.0030790696912028626
Male,Female,2800,2800,7,0.89,1.0,,,,-0.007513264124851578,0.0013588407667842325,-0.003017650795749005
Male,Female,3200,3200,8,0.9,1.0,,,,-0.006200006899884216,0.0022410384371556605,-0.00213695490579513
Male,Female,3600,3600,9,0.93,1.0,,,,-0.0066011458579311845,0.0012921887378686348,-0.0023665578248888153
Male,Female,4000,4000,10,0.95,1.0,,,,-0.00635770752225309,0.00121639806221434,-0.002625793405937271
Male,Female,4400,4400,11,0.95,1.0,,,,-0.00580535213217543,0.0012411037204440728,-0.002425840128376766
Male,Female,4800,4800,12,0.98,1.0,,,,-0.006693320757059067,0.0003303140278690291,-0.0030186334294757255
Male,Unsure,50,50,1,0.54,0.0,,,,-0.030972383213192442,0.07307642300509946,0.026439826513355746
Male,Unsure,100,100,2,0.93,0.0,,,,-0.015202834563313318,0.056119350380011285,0.02344768058738622
Male,Unsure,150,150,3,0.99,0.0,,,,0.00563866388241363,0.06458386903129543,0.03585879860879859
Male,Unsure,200,200,4,1.0,0.0,,,,0.004610938407996666,0.053953764617735094,0.03045093305387392
Male,Unsure,250,250,5,1.0,0.0,,,,0.013691312739547518,0.059117231567451696,0.037718880465939075
Male,Unsure,300,300,6,1.0,0.0,,,,0.019970382218543845,0.06393310146416734,0.042081959979018535
Male,Unsure,350,350,7,1.0,0.0,,,,0.024560271171406356,0.06588455178691578,0.04546454549185697
Male,Unsure,400,400,8,1.0,0.0,,,,0.029334318250173227,0.06951136806412599,0.048831629563247825
Male,Unsure,450,450,9,1.0,0.0,,,,0.025225079618095163,0.06159559786165217,0.043767336693807946
Male,Unsure,500,500,10,1.0,0.0,,,,0.026614864914497945,0.06001152577406324,0.0440213755199057
Male,Unsure,550,550,11,1.0,0.0,,,,0.03046382077147597,0.06482232349869488,0.04838545619561763
Male,Unsure,600,600,12,1.0,0.0,,,,0.03118745351530325,0.06205094391583429,0.047087955753397526
Male,Unsure,650,650,13,1.0,0.0,,,,0.03250426917853513,0.06520759696876852,0.0494737558821271
Male,Unsure,700,700,14,1.0,0.0,,,,0.0321164943279186,0.062036790523320215,0.04723460025035642
Male,Unsure,750,750,15,1.0,0.0,,,,0.029935062094766846,0.05781336954167809,0.04448747113452933
Male,Unsure,800,800,16,1.0,0.0,,,,0.031553655877414266,0.05792589494859611,0.04532699836927678
Male,Unsure,850,850,17,1.0,0.0,,,,0.03287943260843178,0.060267755053480525,0.04695313135537926
Male,Unsure,900,900,18,1.0,0.0,,,,0.03313533331909299,0.05913290271365926,0.04606335403884232
Male,Unsure,950,950,19,1.0,0.0,,,,0.03145687114742618,0.056518796623051266,0.044985096087260756
Male,Unsure,1000,1000,20,1.0,0.0,,,,0.03361436702594417,0.05866183078767355,0.04615205350205065
Male,Unsure,1050,1050,21,1.0,0.0,,,,0.03571817813372081,0.060394966129415834,0.048165702100572805
Male,Unsure,1100,1100,22,1.0,0.0,,,,0.037830613947471586,0.06269171931009686,0.05011588240932807
Male,Unsure,1150,1150,23,1.0,0.0,,,,0.039776398019425785,0.06458687151509754,0.05189741226377742
Male,Unsure,1200,1200,24,1.0,0.0,,,,0.041139441616047184,0.06511392752977796,0.05386009578656348
