group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
Male_Dark,Male_Light,20000,20000,200,1.0,0.81,,,,0.005675470489592346,0.00877938927301742,0.0071778414967470505
Male_Dark,Male_Light,20500,20500,205,1.0,0.81,,,,0.005351572466384211,0.008465911580561366,0.006931819746499368
Male_Dark,Male_Light,21000,21000,210,1.0,0.83,,,,0.005648674587376137,0.008581245782518579,0.00704098506147921
Male_Dark,Male_Light,21500,21500,215,1.0,0.86,,,,0.005551209341576156,0.008607488814212728,0.007100267144329875
Male_Dark,Male_Light,22000,22000,220,1.0,0.86,,,,0.005797115481457669,0.008690184267154719,0.007133308911095981
Male_Dark,Male_Light,22500,22500,225,1.0,0.85,,,,0.005699308536334205,0.008649145136742841,0.00726739484917327
Male_Dark,Male_Light,23000,23000,230,1.0,0.84,,,,0.005906936948229521,0.008649673366135188,0.007284984875185696
Male_Dark,Male_Light,23500,23500,235,1.0,0.86,,,,0.005896518947366007,0.008790534733242877,0.007325103404468458
Male_Dark,Male_Light,24000,24000,240,1.0,0.88,,,,0.005987605620589141,0.00876831182980327,0.00741480217428625
Male_Dark,Male_Light,24500,24500,245,1.0,0.88,,,,0.006100844492744206,0.0090125014108434,0.0075606981587351685
