group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
Dark,Light,150,150,1,0.44,0.01,,,,-0.01465433590102556,0.021774747624381717,0.0036202925614696735
Dark,Light,300,300,2,0.78,0.02,,,,-0.010505639730639955,0.016929838911088506,0.0040617318411433345
Dark,Light,450,450,3,0.94,0.06,,,,-0.006984691406995331,0.015870176024955426,0.004367321313399453
Dark,Light,600,600,4,0.99,0.03,,,,-0.0011442129969692835,0.01760112947373962,0.008468724494459678
Dark,Light,750,750,5,0.99,0.03,,,,-0.001069239102400598,0.015495191676515344,0.00723046757164425
Dark,Light,900,900,6,1.0,0.01,,,,-0.003958708677396748,0.011036447791043139,0.003484033577171197
Dark,Light,1050,1050,7,1.0,0.03,,,,-0.002950924804652949,0.011437144731631663,0.0043111224287700756
Dark,Light,1200,1200,8,1.0,0.16,,,,-0.0024273285163909745,0.010144494392794755,0.003724315648948928
Dark,Light,1350,1350,9,1.0,0.21,,,,7.100702644068438e-05,0.011618900950479679,0.005918939932013423
Dark,Light,1500,1500,10,1.0,0.17,,,,0.00161301660077578,0.013153115234441213,0.007413961474257991
Dark,Light,1650,1650,11,1.0,0.21,,,,0.001220280008416754,0.011826734240706953,0.006690089124583576
Dark,Light,1800,1800,12,1.0,0.19,,,,0.0009063236668043866,0.011351254581251441,0.006387737262740112
Dark,Light,1950,1950,13,1.0,0.24,,,,0.000971676733275367,0.011169661673170869,0.006039161107037394
Dark,Light,2100,2100,14,1.0,0.23,,,,0.00042674639786344573,0.010480243153014457,0.005580949707003402
Dark,Light,2250,2250,15,1.0,0.29,,,,0.0005799155265599088,0.010100264046957469,0.0057328057563375
Dark,Light,2400,2400,16,1.0,0.32,,,,0.001314763307227896,0.010379387404367658,0.005900387330535883
Dark,Light,2550,2550,17,1.0,0.28,,,,0.0013054880768982521,0.010359085167042042,0.0057325321737090595
Dark,Light,2700,2700,18,1.0,0.36,,,,0.0014166433058601224,0.010030603250539978,0.005902181575384247
Dark,Light,2850,2850,19,1.0,0.35,,,,0.0015212043746869377,0.01003056024714134,0.005752956022305189
Dark,Light,3000,3000,20,1.0,0.38,,,,0.0020252555961197856,0.010668383647941846,0.006172947341328561
Dark,Light,3150,3150,21,1.0,0.31,,,,0.0023051887285607323,0.010447809607526115,0.006604726402343997
Dark,Light,3300,3300,22,1.0,0.36,,,,0.002794790462806049,0.010731887091913203,0.006796810389054886
Dark,Light,3450,3450,23,1.0,0.38,,,,0.002898874638787524,0.010687559497549636,0.006983636851921715
Dark,Light,3600,3600,24,1.0,0.37,,,,0.0026324141153639576,0.010788173681232435,0.006884546100230038
Dark,Light,3750,3750,25,1.0,0.44,,,,0.0024370738232352453,0.009925854455458382,0.006251543445658814
Dark,Light,3900,3900,26,1.0,0.44,,,,0.0029328566360909275,0.009749469273914482,0.006327345793971317
Dark,Light,4050,4050,27,1.0,0.44,,,,0.0030066105825882535,0.01012345415568267,0.006560130239320783
Dark,Light,4200,4200,28,1.0,0.41,,,,0.0027964245298916016,0.009636071589179398,0.0062772420934145146
Dark,Light,4350,4350,29,1.0,0.41,,,,0.003150205105348275,0.010087911454198972,0.006615874509379616
Dark,Light,4500,4500,30,1.0,0.46,,,,0.0034120982521441117,0.010256628114980498,0.006882446057932312
Dark,Light,4650,4650,31,1.0,0.47,,,,0.0035437685052786966,0.010848847649376894,0.007337483322773286
Dark,Light,4800,4800,32,1.0,0.55,,,,0.003714863627739238,0.01018541805841345,0.007053351281747666
Dark,Light,4950,4950,33,1.0,0.57,,,,0.003242386558939306,0.009867928130076977,0.006747061349552497
Dark,Light,5100,5100,34,1.0,0.56,,,,0.003581345970844566,0.010082089351916425,0.006806599430298155
Dark,Light,5250,5250,35,1.0,0.57,,,,0.0038491016278245603,0.010021992720548593,0.006994272689646697
Dark,Light,5400,5400,36,1.0,0.58,,,,0.0038610579424478847,0.010169896656535088,0.007162514893719996
Dark,Light,5550,5550,37,1.0,0.58,,,,0.004108475739351426,0.010148687891331212,0.006981879805404656
Dark,Light,5700,5700,38,1.0,0.61,,,,0.0036255393299451603,0.009714602251099425,0.006624159953103281
Dark,Light,5850,5850,39,1.0,0.63,,,,0.0035669516670513,0.009740962405766163,0.006738963190316749
Dark,Light,6000,6000,40,1.0,0.61,,,,0.003988783876791517,0.009952586079833257,0.00688033954062961
Dark,Light,6150,6150,41,1.0,0.64,,,,0.0036765039214415925,0.00965616944528668,0.00670532195101381
Dark,Light,6300,6300,42,1.0,0.64,,,,0.0038756304244008284,0.009490173875488377,0.006766462814078111
Dark,Light,6450,6450,43,1.0,0.63,,,,0.003605044351133447,0.009331547836691203,0.006383064419997142
Dark,Light,6600,6600,44,1.0,0.67,,,,0.0032384272188231075,0.00892718189786626,0.0061688921224324345
Dark,Light,6750,6750,45,1.0,0.65,,,,0.0031675384866867353,0.008618519521810641,0.006019718927887108
Dark,Light,6900,6900,46,1.0,0.65,,,,0.0030535053891861882,0.008544688825370163,0.005920742833465109
Dark,Light,7050,7050,47,1.0,0.65,,,,0.0033859179905389013,0.00886889993321167,0.006194200008027728
Dark,Light,7200,7200,48,1.0,0.68,,,,0.00366235343864528,0.009099833482826813,0.006333625502127904
Dark,Light,7350,7350,49,1.0,0.68,,,,0.0036778456914996187,0.009141758119604168,0.006456960328806605
