group1,group2,N1,N2,frac,pi_low,pi_high
5.0_typical,1.0_low,5,1,1.0,-0.01,-0.01
5.0_typical,1.0_low,6,3,1.5,0.19,0.19
5.0_typical,1.0_low,7,5,2.0,0.76,0.88
5.0_typical,1.0_low,10,5,2.5,0.72,0.92
5.0_typical,1.0_low,10,8,3.0,0.65,0.97
5.0_typical,1.0_low,12,9,3.5,0.64,0.98
5.0_typical,1.0_low,14,10,4.0,0.59,0.98
5.0_typical,1.0_low,15,12,4.5,0.54,0.98
5.0_typical,1.0_low,16,14,5.0,0.48,0.99
5.0_typical,1.0_low,17,16,5.5,0.44,1.0
5.0_typical,1.0_low,20,16,6.0,0.38,1.0
5.0_typical,1.0_low,21,18,6.5,0.31,1.0
5.0_typical,1.0_low,23,19,7.0,0.28,1.0
5.0_typical,1.0_low,23,22,7.5,0.3,1.0
5.0_typical,1.0_low,24,24,8.0,0.23,1.0
5.0_typical,1.0_low,25,26,8.5,0.22,1.0
5.0_typical,1.0_low,26,28,9.0,0.2,1.0
5.0_typical,1.0_low,28,29,9.5,0.15,1.0
5.0_typical,1.0_typical,15,7,1.0,0.96,0.92
5.0_typical,1.0_typical,20,13,1.5,0.95,0.94
5.0_typical,1.0_typical,25,19,2.0,0.97,0.95
5.0_typical,1.0_typical,28,27,2.5,0.95,0.94
5.0_typical,1.0_typical,34,32,3.0,0.95,0.93
5.0_typical,1.0_typical,39,38,3.5,0.95,0.94
5.0_typical,1.0_typical,45,43,4.0,0.94,0.93
5.0_typical,1.0_typical,52,47,4.5,0.95,0.96
5.0_typical,1.0_typical,60,50,5.0,0.94,0.96
5.0_typical,1.0_typical,64,57,5.5,0.93,0.96
5.0_typical,1.0_typical,72,60,6.0,0.94,0.95
5.0_typical,1.0_typical,79,64,6.5,0.95,0.95
5.0_typical,1.0_typical,86,68,7.0,0.95,0.94
5.0_typical,1.0_typical,90,75,7.5,0.93,0.93
5.0_typical,1.0_typical,96,80,8.0,0.95,0.93
5.0_typical,1.0_typical,101,86,8.5,0.92,0.94
5.0_typical,1.0_typical,107,91,9.0,0.92,0.95
5.0_typical,1.0_typical,116,93,9.5,0.93,0.94
5.0_typical,6.0_high,83,93,1.0,0.95,0.94
5.0_typical,6.0_high,123,141,1.5,0.92,0.94
5.0_typical,6.0_high,169,183,2.0,0.93,0.92
5.0_typical,6.0_high,212,228,2.5,0.94,0.88
5.0_typical,6.0_high,254,274,3.0,0.95,0.89
5.0_typical,6.0_high,298,318,3.5,0.93,0.87
5.0_typical,6.0_high,338,366,4.0,0.92,0.88
5.0_typical,6.0_high,384,408,4.5,0.9,0.89
5.0_typical,6.0_high,435,445,5.0,0.9,0.86
5.0_typical,6.0_high,485,483,5.5,0.89,0.8
5.0_typical,6.0_high,530,526,6.0,0.91,0.85
5.0_typical,6.0_high,571,573,6.5,0.89,0.79
5.0_typical,6.0_high,627,605,7.0,0.89,0.8
5.0_typical,6.0_high,672,648,7.5,0.87,0.76
5.0_typical,6.0_high,719,689,8.0,0.85,0.74
5.0_typical,6.0_high,758,738,8.5,0.85,0.74
5.0_typical,6.0_high,802,782,9.0,0.82,0.75
5.0_typical,6.0_high,837,835,9.5,0.83,0.72
5.0_typical,4.0_high,98,104,1.0,0.75,1.0
5.0_typical,4.0_high,148,155,1.5,0.62,1.0
5.0_typical,4.0_high,201,203,2.0,0.62,1.0
5.0_typical,4.0_high,254,251,2.5,0.53,1.0
5.0_typical,4.0_high,301,305,3.0,0.45,1.0
5.0_typical,4.0_high,347,360,3.5,0.4,1.0
5.0_typical,4.0_high,400,408,4.0,0.3,1.0
5.0_typical,4.0_high,451,458,4.5,0.22,1.0
5.0_typical,4.0_high,506,504,5.0,0.19,1.0
5.0_typical,4.0_high,561,550,5.5,0.17,1.0
5.0_typical,4.0_high,617,595,6.0,0.12,1.0
5.0_typical,4.0_high,672,641,6.5,0.08,1.0
5.0_typical,4.0_high,745,669,7.0,0.03,1.0
5.0_typical,4.0_high,794,721,7.5,0.03,1.0
5.0_typical,4.0_high,846,770,8.0,0.04,1.0
5.0_typical,4.0_high,889,828,8.5,0.03,1.0
5.0_typical,4.0_high,939,879,9.0,0.04,1.0
5.0_typical,4.0_high,984,935,9.5,0.03,1.0
6.0_typical,4.0_typical,520,488,1.0,0.99,0.68
6.0_typical,4.0_typical,771,741,1.5,0.96,0.6
6.0_typical,4.0_typical,1008,1008,2.0,0.96,0.43
6.0_typical,4.0_typical,1257,1263,2.5,0.98,0.36
6.0_typical,4.0_typical,1531,1493,3.0,0.96,0.25
6.0_typical,4.0_typical,1798,1730,3.5,0.97,0.23
6.0_typical,4.0_typical,2045,1987,4.0,0.98,0.17
6.0_typical,4.0_typical,2309,2227,4.5,0.95,0.13
6.0_typical,4.0_typical,2542,2498,5.0,0.96,0.1
6.0_typical,4.0_typical,2786,2758,5.5,0.95,0.11
6.0_typical,4.0_typical,3049,2999,6.0,0.96,0.05
6.0_typical,4.0_typical,3297,3255,6.5,0.97,0.03
6.0_typical,4.0_typical,3547,3509,7.0,0.97,0.03
6.0_typical,4.0_typical,3786,3774,7.5,0.96,0.01
6.0_typical,4.0_typical,4031,4033,8.0,0.93,0.01
