group1,group2,N1,N2,frac,pi_low,pi_high
5.0_female,5.0_male,1130,1170,1.0,0.66,0.81
5.0_female,5.0_male,1675,1775,1.5,0.5,0.72
5.0_female,5.0_male,2250,2350,2.0,0.43,0.72
5.0_female,5.0_male,2796,2954,2.5,0.38,0.63
5.0_female,5.0_male,3348,3552,3.0,0.29,0.54
5.0_female,5.0_male,3950,4100,3.5,0.26,0.44
5.0_female,5.0_male,4539,4661,4.0,0.21,0.36
5.0_female,5.0_male,5103,5247,4.5,0.16,0.37
5.0_female,5.0_male,5655,5845,5.0,0.12,0.32
5.0_female,5.0_male,6207,6443,5.5,0.08,0.27
5.0_female,5.0_male,6780,7020,6.0,0.1,0.23
5.0_female,5.0_male,7354,7596,6.5,0.07,0.14
5.0_female,5.0_male,7938,8162,7.0,0.07,0.14
5.0_female,5.0_male,8522,8728,7.5,0.04,0.13
5.0_female,5.0_male,9090,9310,8.0,0.02,0.12
5.0_female,5.0_male,9663,9887,8.5,0.02,0.1
5.0_female,5.0_male,10258,10442,9.0,0.02,0.07
5.0_female,5.0_male,10849,11001,9.5,0.01,0.06
5.0_female,1.0_female,17,15,1.0,1.0,0.82
5.0_female,1.0_female,26,22,1.5,0.99,0.78
5.0_female,1.0_female,34,30,2.0,0.99,0.73
5.0_female,1.0_female,44,36,2.5,1.0,0.76
5.0_female,1.0_female,51,45,3.0,1.0,0.74
5.0_female,1.0_female,59,53,3.5,1.0,0.68
5.0_female,1.0_female,65,63,4.0,1.0,0.64
5.0_female,1.0_female,76,68,4.5,1.0,0.61
5.0_female,1.0_female,85,75,5.0,1.0,0.55
5.0_female,1.0_female,91,85,5.5,1.0,0.5
5.0_female,1.0_female,98,94,6.0,1.0,0.48
5.0_female,1.0_female,107,101,6.5,1.0,0.48
5.0_female,1.0_female,114,110,7.0,1.0,0.44
5.0_female,1.0_female,122,118,7.5,1.0,0.42
5.0_female,1.0_female,129,127,8.0,1.0,0.38
5.0_female,1.0_female,136,136,8.5,1.0,0.39
5.0_female,1.0_female,144,144,9.0,1.0,0.37
5.0_female,1.0_female,153,151,9.5,1.0,0.37
6.0_female,3.0_female,248,234,1.0,1.0,0.39
6.0_female,3.0_female,379,344,1.5,1.0,0.29
6.0_female,3.0_female,501,463,2.0,1.0,0.17
6.0_female,3.0_female,623,582,2.5,1.0,0.05
6.0_female,3.0_female,738,708,3.0,1.0,0.05
6.0_female,3.0_female,855,832,3.5,1.0,0.02
6.0_female,3.0_female,970,958,4.0,1.0,0.02
6.0_female,3.0_female,1086,1083,4.5,1.0,0.0
6.0_female,3.0_female,1215,1195,5.0,1.0,0.0
6.0_female,3.0_female,1340,1311,5.5,1.0,0.0
6.0_female,3.0_female,1461,1431,6.0,1.0,0.0
6.0_female,3.0_female,1583,1550,6.5,1.0,0.0
6.0_female,3.0_female,1701,1673,7.0,1.0,0.0
6.0_female,3.0_female,1822,1793,7.5,1.0,0.0
6.0_female,3.0_female,1950,1906,8.0,1.0,0.0
6.0_female,3.0_female,2058,2039,8.5,1.0,0.0
6.0_female,3.0_female,2193,2145,9.0,1.0,0.0
6.0_female,3.0_female,2317,2262,9.5,1.0,0.0
6.0_female,4.0_female,248,234,1.0,0.95,0.88
6.0_female,4.0_female,379,344,1.5,0.95,0.86
6.0_female,4.0_female,501,463,2.0,0.93,0.87
6.0_female,4.0_female,623,582,2.5,0.95,0.83
6.0_female,4.0_female,738,708,3.0,0.88,0.79
6.0_female,4.0_female,855,832,3.5,0.9,0.77
6.0_female,4.0_female,970,958,4.0,0.9,0.78
6.0_female,4.0_female,1086,1083,4.5,0.9,0.75
6.0_female,4.0_female,1215,1195,5.0,0.89,0.77
6.0_female,4.0_female,1340,1311,5.5,0.85,0.76
6.0_female,4.0_female,1461,1431,6.0,0.85,0.76
6.0_female,4.0_female,1583,1550,6.5,0.87,0.71
6.0_female,4.0_female,1701,1673,7.0,0.83,0.72
6.0_female,4.0_female,1822,1793,7.5,0.85,0.69
6.0_female,4.0_female,1950,1906,8.0,0.8,0.69
6.0_female,4.0_female,2058,2039,8.5,0.81,0.64
6.0_female,4.0_female,2193,2145,9.0,0.81,0.65
6.0_female,4.0_female,2317,2262,9.5,0.79,0.63
6.0_female,4.0_male,248,234,1.0,0.98,0.77
6.0_female,4.0_male,379,344,1.5,0.97,0.77
6.0_female,4.0_male,501,463,2.0,0.95,0.67
6.0_female,4.0_male,623,582,2.5,0.97,0.62
6.0_female,4.0_male,738,708,3.0,0.97,0.53
