group1,group2
5.0_typical,1.0_low
5.0_typical,1.0_typical
5.0_typical,6.0_high
5.0_typical,4.0_high
6.0_typical,4.0_typical
6.0_typical,1.0_low
6.0_typical,1.0_typical
6.0_typical,1.0_high
3.0_typical,2.0_typical
3.0_typical,4.0_typical
3.0_typical,1.0_low
3.0_typical,1.0_typical
3.0_typical,1.0_high
2.0_typical,4.0_typical
2.0_typical,1.0_low
2.0_typical,1.0_typical
2.0_typical,1.0_high
4.0_typical,1.0_low
4.0_typical,1.0_typical
4.0_typical,1.0_high
5.0_low,4.0_low
5.0_low,6.0_low
5.0_low,3.0_low
5.0_low,1.0_low
5.0_low,1.0_typical
5.0_low,5.0_high
5.0_low,3.0_high
4.0_low,6.0_low
4.0_low,3.0_low
4.0_low,1.0_low
4.0_low,1.0_typical
4.0_low,5.0_high
4.0_low,3.0_high
6.0_low,3.0_low
6.0_low,2.0_low
6.0_low,1.0_low
6.0_low,1.0_typical
6.0_low,5.0_high
6.0_low,4.0_high
6.0_low,3.0_high
6.0_low,2.0_high
3.0_low,2.0_low
3.0_low,1.0_low
3.0_low,1.0_typical
3.0_low,5.0_high
3.0_low,4.0_high
3.0_low,3.0_high
3.0_low,2.0_high
2.0_low,1.0_low
2.0_low,1.0_typical
2.0_low,4.0_high
2.0_low,3.0_high
2.0_low,2.0_high
1.0_low,1.0_typical
1.0_low,6.0_high
1.0_low,5.0_high
1.0_low,4.0_high
1.0_low,3.0_high
1.0_low,2.0_high
1.0_low,1.0_high
1.0_typical,6.0_high
1.0_typical,5.0_high
1.0_typical,4.0_high
1.0_typical,3.0_high
1.0_typical,2.0_high
1.0_typical,1.0_high
6.0_high,4.0_high
6.0_high,1.0_high
5.0_high,4.0_high
5.0_high,3.0_high
4.0_high,3.0_high
4.0_high,2.0_high
3.0_high,2.0_high
