group1,group2,N1,N2,low,high,width,obs_diff,zero_included
4,1,50,50,-0.021550475260035055,0.03976803417170989,0.061318509431744946,0.010241821903586246,True
4,2,50,50,-0.014894959615547917,0.03944818522980237,0.054343144845350286,0.011052793611616818,True
4,Unsure,50,50,0.025826769553974588,0.13362358956402978,0.1077968200100552,0.08319615351968246,False
4,3,50,50,-0.009598081330434965,0.07436263160858683,0.0839607129390218,0.034545772854596035,True
1,2,350,350,-0.0018097095773034234,0.023087123001881666,0.02489683257918509,0.010479617954408105,True
1,Unsure,50,50,0.011396255827505475,0.12807846683545193,0.11668221100794646,0.07295433161609621,False
1,3,100,100,-0.0059969359684436535,0.04824383643317405,0.054240772401617704,0.021886547276252943,True
2,Unsure,50,50,0.016508931836137525,0.11995272566485769,0.10344379382872017,0.07214335990806564,False
2,3,100,100,-0.025016966346562558,0.028842977753455477,0.053859944100018035,0.0033643178716705746,True
Unsure,3,50,50,-0.10997451535392712,0.014044856369121159,0.12401937172304828,-0.04865038066508642,True
