group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
Male,Female,400,400,1.0,0.66,0.56,,,,-0.006361089252862186,0.019360622654511654,0.006860980522745863
Male,Female,600,600,1.5,0.56,0.44,,,,-0.002675367895311729,0.01765819681748007,0.00724234371293242
Male,Female,800,800,2.0,0.46,0.23,,,,-0.0009121956755461409,0.016065426796446736,0.007785819776628178
Male,Female,1000,1000,2.5,0.41,0.15,,,,-0.003671648490400187,0.012099700152786625,0.004304703548084876
Male,Female,1200,1200,3.0,0.34,0.09,,,,-0.005939548234311611,0.008362758349016529,0.0010911504753402523
Male,Female,1400,1400,3.5,0.26,0.06,,,,-0.0048658630075012,0.007457588310670552,0.0010827982708215833
Male,Female,1600,1600,4.0,0.24,0.05,,,,-0.004527636820135833,0.00710821329915833,0.0012066455807248078
Male,Female,1800,1800,4.5,0.18,0.04,,,,-0.0048836557426366325,0.006816275800496004,0.0008591364155067227
Male,Female,2000,2000,5.0,0.17,0.01,,,,-0.003451960552724136,0.0070364029526437805,0.0018575840417734968
Male,Unsure,50,50,1.0,0.58,0.99,,,,0.0005682478469246355,0.13747106680084623,0.07651406599936017
Male,Unsure,75,75,1.5,0.39,1.0,,,,0.00035319653113811966,0.09754927036471218,0.0525236147294974
Male,Unsure,100,100,2.0,0.21,1.0,,,,0.029801405069604298,0.12190519590703436,0.07772916625857829
Male,Unsure,125,125,2.5,0.08,1.0,,,,0.04493044483294556,0.1332040608411203,0.09224749107102093
Male,Unsure,150,150,3.0,0.02,1.0,,,,0.03711920259751249,0.11324293740029098,0.07668173275526269
Male,Unsure,175,175,3.5,0.01,1.0,,,,0.042456767742062626,0.11357680723804703,0.07842447841607558
Male,Unsure,200,200,4.0,0.02,1.0,,,,0.04062045341300917,0.11056632242349185,0.07794599110040334
Male,Unsure,225,225,4.5,0.02,1.0,,,,0.04447873940692609,0.107523313541942,0.0765160315356399
Male,Unsure,250,250,5.0,0.0,1.0,,,,0.04152138835837463,0.09982361396773279,0.07142876502582463
