group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
4,1,50,50,1.0,0.71,0.98,,,,-0.016947598847230926,0.02864307310336767,0.004942748428042765
4,1,75,75,1.5,0.58,1.0,,,,-0.01659168143947523,0.024817749897162213,0.003319089407324838
4,1,100,100,2.0,0.51,0.99,,,,-0.011523147379581145,0.02857289689477172,0.008408606099782445
4,1,125,125,2.5,0.4,0.97,,,,-0.004221329895595191,0.033159609850932664,0.014089788642729362
4,1,150,150,3.0,0.36,0.98,,,,-0.0038825506193164716,0.027367238358046306,0.011880379424496601
4,1,175,175,3.5,0.27,0.98,,,,0.00031048080071124917,0.03271663637482918,0.01566784056279813
4,1,200,200,4.0,0.25,0.98,,,,0.001688917546912777,0.030900858791942903,0.014837861893008397
4,1,225,225,4.5,0.2,0.99,,,,0.002838966969848554,0.029852434629639435,0.016610817287287527
4,1,250,250,5.0,0.16,0.99,,,,0.0023335679761406873,0.028344542565277624,0.01557537658419983
4,2,50,50,1.0,0.59,0.99,,,,-0.002653817016316673,0.042663053245774525,0.01912486043368422
4,2,75,75,1.5,0.34,0.99,,,,-0.00442294331485453,0.03670860634463586,0.014714031066972444
4,2,100,100,2.0,0.27,0.99,,,,-0.005621832211905705,0.027022281027795865,0.010103208066443492
4,2,125,125,2.5,0.22,0.99,,,,-0.005757470176881895,0.026103798456446083,0.009766111666112076
4,2,150,150,3.0,0.17,0.98,,,,-0.00520675902256789,0.023488646008131834,0.009598689981043296
4,2,175,175,3.5,0.11,0.98,,,,-0.0026745647443125395,0.02583410940133647,0.010471439391607884
4,2,200,200,4.0,0.12,1.0,,,,-0.0006416902745945315,0.026436353372934856,0.012545882222353089
4,2,225,225,4.5,0.07,0.99,,,,0.0029647896584173924,0.02603448489600501,0.014512673963654743
4,2,250,250,5.0,0.07,0.99,,,,0.0058312170672474885,0.027215946928888946,0.016596194981489565
4,3,50,50,1.0,0.42,1.0,,,,0.008653604851031185,0.10077903775146448,0.057203590527119874
4,3,75,75,1.5,0.13,1.0,,,,-0.00486899024178454,0.06154191037720422,0.029875931258284028
4,3,100,100,2.0,0.06,1.0,,,,0.003689004071908225,0.06130439805292716,0.03377005592446758
4,3,125,125,2.5,0.05,1.0,,,,0.014017559107558974,0.07628952469099498,0.04813660065424752
4,3,150,150,3.0,0.04,1.0,,,,0.017633278649453896,0.07066766309670634,0.04509860727507742
4,3,175,175,3.5,0.03,1.0,,,,0.020312284214385065,0.0667819069236085,0.04438262437842255
4,3,200,200,4.0,0.01,1.0,,,,0.02252465616491328,0.06749570555057659,0.04479391686744616
4,3,225,225,4.5,0.01,1.0,,,,0.022945284508519806,0.061879928268898605,0.0436316113080818
4,3,250,250,5.0,0.01,1.0,,,,0.019470520092651565,0.05722338499735527,0.03904786194197929
1,2,350,350,1.0,0.09,0.98,,,,0.007379621557245676,0.03139495371575022,0.020070865642293212
1,2,525,525,1.5,0.01,0.99,,,,0.004342366437638065,0.025605483860209496,0.015397029518877448
1,2,700,700,2.0,0.0,0.97,,,,0.004403060489929413,0.02194456278431936,0.013284172643415748
1,2,875,875,2.5,0.0,0.99,,,,0.00810765162708196,0.023456018507633045,0.01586005926846168
1,2,1050,1050,3.0,0.0,1.0,,,,0.008676865592777246,0.023450391063572176,0.01587627102122824
1,2,1225,1225,3.5,0.0,1.0,,,,0.008144382763095186,0.021252326290155943,0.014890436627531534
1,2,1400,1400,4.0,0.0,1.0,,,,0.007987890727385948,0.01995464330254161,0.013945513811585264
1,2,1575,1575,4.5,0.0,1.0,,,,0.006479691946708454,0.017871600914388098,0.012170580793830377
1,2,1750,1750,5.0,0.0,0.99,,,,0.0073285532569691385,0.018770840285998715,0.013191008664538928
1,3,100,100,1.0,0.39,1.0,,,,-0.005229588609918859,0.05090312799945197,0.024510834753482036
1,3,150,150,1.5,0.15,1.0,,,,-0.0015930638397552294,0.0491775164378101,0.024456208823855796
1,3,200,200,2.0,0.09,1.0,,,,-0.007392763792579762,0.035250922882265306,0.012412592309651305
1,3,250,250,2.5,0.03,1.0,,,,-0.006566914653973542,0.02980127928444066,0.011704978354978524
1,3,300,300,3.0,0.02,1.0,,,,-0.004308580757477545,0.026627572835661487,0.011223426083720511
1,3,350,350,3.5,0.01,1.0,,,,-0.002180779899372081,0.02709511183844203,0.012754830603570189
1,3,400,400,4.0,0.01,1.0,,,,-0.0009284459260105772,0.02712157935508083,0.012933318519715464
1,3,450,450,4.5,0.0,1.0,,,,-0.002663571994454734,0.02051764152242092,0.009835212717565489
1,3,500,500,5.0,0.0,1.0,,,,-1.6073913831529674e-05,0.02269221286066849,0.011367880648762707
2,3,100,100,1.0,0.9,0.91,,,,-0.03401830381628221,0.02609189658380802,-0.002772857044916255
2,3,150,150,1.5,0.88,0.93,,,,-0.027228109975537457,0.022732472579162534,-0.0019520490402852309
2,3,200,200,2.0,0.77,0.93,,,,-0.020870524491848445,0.018938725531004213,-0.0001976422270544287
2,3,250,250,2.5,0.7,0.93,,,,-0.019632329769904283,0.013676417071490372,-0.0027993702376059026
