group1,group2,N1,N2,low,high,width,obs_diff,zero_included
4,1,50,50,-0.036399015690192674,0.03341308813735254,0.06981210382754521,-0.003539499715970562,True
4,2,50,50,-0.02260430782452863,0.04108857433416243,0.06369288215869107,0.007816343786931967,True
4,Unsure,50,50,0.01755376404641068,0.136352452653555,0.11879868860714432,0.08047443079796002,False
4,3,50,50,-0.013752385686209054,0.07489160659601839,0.08864399228222744,0.03132450555979982,True
1,2,350,350,-0.0037395018147129387,0.022267579088744747,0.026007080903457686,0.009441104880180018,True
1,Unsure,50,50,0.02483072030094094,0.1366827306680249,0.11185201036708395,0.08401393051393058,False
1,3,100,100,-0.004715519019378452,0.048003690957736,0.052719209977114455,0.021894442159148486,True
2,Unsure,50,50,0.013655047077105825,0.12531477958316153,0.11165973250605571,0.07265808701102805,False
2,3,100,100,-0.030106771924969494,0.03091187286977772,0.06101864479474721,0.0012546122178476171,True
Unsure,3,50,50,-0.11178126203861447,0.01899719749205092,0.1307784595306654,-0.0491499252381602,True
