group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
Male,Female,400,400,1.0,0.73,0.51,,,,-0.007877985877480558,0.017777220818398325,0.005495545304369243
Male,Female,600,600,1.5,0.57,0.41,,,,-0.00785047238640891,0.012485211146425743,0.002834275882070636
Male,Female,800,800,2.0,0.5,0.29,,,,-0.0056380217030752855,0.013048491752833118,0.0036887879277569535
Male,Female,1000,1000,2.5,0.48,0.15,,,,-0.00581954280809306,0.009595524695889146,0.001784899822397934
Male,Female,1200,1200,3.0,0.34,0.09,,,,-0.006705841433555237,0.006218865327548464,0.0002173025095799641
Male,Female,1400,1400,3.5,0.34,0.08,,,,-0.006701706549463152,0.00546900576372688,-0.00040461528434354577
Male,Female,1600,1600,4.0,0.29,0.05,,,,-0.005993318057300685,0.005413884883243652,-0.00026197684056228354
Male,Female,1800,1800,4.5,0.26,0.06,,,,-0.006612890305048916,0.004236779194161805,-0.0013272836459120585
Male,Female,2000,2000,5.0,0.22,0.03,,,,-0.005803706767089429,0.005317383895721428,0.00019975139239758466
Male,Unsure,50,50,1.0,0.44,1.0,,,,0.024971556629644648,0.18425585835732827,0.10571044151926501
Male,Unsure,75,75,1.5,0.17,1.0,,,,0.022627346428081896,0.13414938925453646,0.08026525435348963
Male,Unsure,100,100,2.0,0.07,1.0,,,,0.04281113751444568,0.14800555222963271,0.09696996141113767
Male,Unsure,125,125,2.5,0.01,1.0,,,,0.05986744990303805,0.15760046389884624,0.10910110281874963
Male,Unsure,150,150,3.0,0.0,1.0,,,,0.048761207501649445,0.13329361802413342,0.09127006000535431
Male,Unsure,175,175,3.5,0.0,1.0,,,,0.04716282355599613,0.13464902002759188,0.09085007009796942
Male,Unsure,200,200,4.0,0.0,1.0,,,,0.05240240458071316,0.1304998639840549,0.09186616447278217
Male,Unsure,225,225,4.5,0.0,1.0,,,,0.05467258533949773,0.12365847197464917,0.08937170345993906
Male,Unsure,250,250,5.0,0.0,1.0,,,,0.05094825960803957,0.12273247301717917,0.08721211533564488
