group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
4,1,50,50,1.0,0.91,0.87,,,,-0.04137610049264489,0.009423637636872796,-0.016894350747292064
4,1,75,75,1.5,0.92,0.9,,,,-0.03875132302338238,0.011291355376649298,-0.015196796667385049
4,1,100,100,2.0,0.92,0.84,,,,-0.04293273472850692,0.003305010369532277,-0.019930189908131224
4,1,125,125,2.5,0.85,0.83,,,,-0.03959158821570619,0.0053593851736493114,-0.017806156588509814
4,1,150,150,3.0,0.85,0.79,,,,-0.03543967764261885,0.004732383792677389,-0.016049481564187618
4,1,175,175,3.5,0.89,0.71,,,,-0.029020538949846165,0.006089955317790732,-0.011427247822205944
4,1,200,200,4.0,0.91,0.68,,,,-0.028230058024084195,0.0062643281657065,-0.01146231587040425
4,1,225,225,4.5,0.84,0.64,,,,-0.021017840900929438,0.010264318633436062,-0.005502457237751446
4,1,250,250,5.0,0.83,0.64,,,,-0.02052115088343089,0.010007790665216652,-0.00491411627588112
4,2,50,50,1.0,0.72,0.97,,,,-0.022807199785508506,0.03310972716009472,0.004166549137137432
4,2,75,75,1.5,0.62,0.99,,,,-0.024078424734306967,0.022676993349787556,-0.0008059435118258351
4,2,100,100,2.0,0.56,0.99,,,,-0.033024227773860174,0.011639961162204358,-0.01098865431953644
4,2,125,125,2.5,0.57,0.95,,,,-0.031398305681246,0.0069880083968328205,-0.012560569495863039
4,2,150,150,3.0,0.49,0.96,,,,-0.026617575425662888,0.011010180682608034,-0.008012221438691292
4,2,175,175,3.5,0.52,0.97,,,,-0.02407241588943182,0.009910425195720388,-0.008057582473548153
4,2,200,200,4.0,0.45,0.98,,,,-0.020616184163058392,0.011585214417935589,-0.005145767222972442
4,2,225,225,4.5,0.39,0.96,,,,-0.015865647787215546,0.012865352421725516,-0.0014168293580051339
4,2,250,250,5.0,0.35,0.94,,,,-0.011060091109869705,0.017428813057858115,0.003238862771216433
4,3,50,50,1.0,0.52,1.0,,,,-0.005660848383643197,0.09749092500636579,0.048977094800623955
4,3,75,75,1.5,0.31,1.0,,,,-0.016589942682589953,0.06212894504732692,0.024434742817095456
4,3,100,100,2.0,0.16,0.99,,,,-0.0012885000212208356,0.06104137086361296,0.02952321942763092
4,3,125,125,2.5,0.12,0.99,,,,0.008088733978438817,0.07584674500336241,0.04216095864919378
4,3,150,150,3.0,0.11,0.99,,,,0.009138753852356504,0.06731936566973343,0.038818524612642236
4,3,175,175,3.5,0.1,0.99,,,,0.010493271352830472,0.06700587248885603,0.040501618362963177
4,3,200,200,4.0,0.06,1.0,,,,0.016101861690188887,0.06706630449819843,0.04309542540792577
4,3,225,225,4.5,0.04,1.0,,,,0.019845941141284615,0.06483904333683783,0.04318255818255856
4,3,250,250,5.0,0.02,1.0,,,,0.01756476403498468,0.06021011080422868,0.038309098744393255
1,2,350,350,1.0,0.16,0.98,,,,0.012178317416709453,0.037933408864711,0.024883334452661776
1,2,525,525,1.5,0.02,0.98,,,,0.00725565404483558,0.029587628303069616,0.018974092200982895
1,2,700,700,2.0,0.02,0.98,,,,0.006292522428551665,0.024387547105090394,0.015523317252309154
1,2,875,875,2.5,0.0,0.99,,,,0.010134443019633389,0.02622651218063065,0.018265830528016447
1,2,1050,1050,3.0,0.0,0.98,,,,0.012087697880241222,0.026626987702618378,0.019210841135211876
1,2,1225,1225,3.5,0.0,0.98,,,,0.009775987286358055,0.02339294288810992,0.016413614330181625
1,2,1400,1400,4.0,0.0,0.98,,,,0.008957730082127236,0.02150477194957249,0.015041688120470575
1,2,1575,1575,4.5,0.0,0.99,,,,0.006689078370277341,0.018076482521265265,0.012589513660942964
1,2,1750,1750,5.0,0.0,1.0,,,,0.007453760553173188,0.018850052958247862,0.013038879607788156
1,3,100,100,1.0,0.35,0.99,,,,-0.00037773480604400694,0.057609629075988836,0.029454511991276466
1,3,150,150,1.5,0.15,0.99,,,,0.008033680303900316,0.05950704677947351,0.03383991770756478
1,3,200,200,2.0,0.09,1.0,,,,0.003403962571333824,0.04599084566373132,0.025234547315429845
1,3,250,250,2.5,0.03,1.0,,,,0.0011747823255184933,0.037439523393273416,0.019220767467826527
1,3,300,300,3.0,0.02,1.0,,,,0.0029639779202280045,0.03344318461358894,0.018375325926796582
1,3,350,350,3.5,0.01,1.0,,,,0.003507425615933299,0.03359048348360266,0.019573392060786565
1,3,400,400,4.0,0.01,1.0,,,,0.007337979963256219,0.03464145357808079,0.020848557692307423
1,3,450,450,4.5,0.0,1.0,,,,0.004444966294598493,0.029788037148943527,0.01740700875014567
1,3,500,500,5.0,0.0,1.0,,,,0.004922014864220538,0.027722849719724003,0.016744726515314445
2,3,100,100,1.0,0.95,0.89,,,,-0.015633158446945745,0.04825262662174364,0.0167268719842244
2,3,150,150,1.5,0.89,0.89,,,,-0.0105355544645995,0.04297090763267125,0.017356377282847224
2,3,200,200,2.0,0.87,0.89,,,,-0.005548174548083991,0.03857857473408877,0.017991578682754694
2,3,250,250,2.5,0.85,0.9,,,,-0.010315094709212939,0.02720418809132018,0.009786634607222622
2,3,300,300,3.0,0.75,0.87,,,,-0.00993506768966386,0.022425207499471363,0.006165538709656082
2,3,350,350,3.5,0.73,0.83,,,,-0.007134527476491806,0.02223413291890146,0.007821174856889157
2,3,400,400,4.0,0.68,0.84,,,,-0.007021819780504895,0.02139510639993188,0.007666089833369694
