group1,group2,N1,N2,low,high,width,obs_diff,zero_included
5.0_typical,6.0_typical,500,500,-0.06286513480392175,-0.013043230580694155,0.049821904223227596,-0.036248227752639806,False
5.0_typical,3.0_typical,1500,1500,-0.08451467634489734,-0.055919541540976364,0.02859513480392098,-0.0702358471593778,False
5.0_typical,2.0_typical,1600,1600,-0.08816263639470287,-0.05901676829986936,0.029145868094833507,-0.07410724217571796,False
5.0_typical,4.0_typical,800,800,-0.08024823069853351,-0.04098588211727085,0.039262348581262665,-0.06020477469834329,False
5.0_typical,5.0_low,550,550,0.05121680721239441,0.09491168929109886,0.04369488207870445,0.0725657822569572,False
5.0_typical,4.0_low,150,150,0.017140522875817396,0.10746535947712436,0.09032483660130697,0.06224836601307182,False
5.0_typical,6.0_low,150,150,0.010489215686274714,0.0973511437908501,0.08686192810457538,0.052934640522875775,False
5.0_typical,3.0_low,350,350,0.0275040723981905,0.08498446455505249,0.05748039215686199,0.05489678948502408,False
5.0_typical,2.0_low,500,500,0.01865648567119195,0.06482472096530836,0.046168235294116414,0.04135520361990863,False
5.0_typical,6.0_high,50,50,-0.07882352941176451,0.03529411764705881,0.11411764705882332,-0.025882352941176356,True
5.0_typical,5.0_high,300,300,0.025992659627953052,0.08729152840623229,0.06129886877827924,0.05692207139265848,False
5.0_typical,4.0_high,100,100,-0.034798039215686256,0.062328431372548045,0.0971264705882343,0.013490196078431271,True
5.0_typical,3.0_high,200,200,0.01344483408748083,0.087813009049774,0.07436817496229317,0.049716440422322705,False
5.0_typical,2.0_high,250,250,-0.009500603318251276,0.05253782805429639,0.062038431372547664,0.01991432880844579,True
6.0_typical,3.0_typical,500,500,-0.049961617647058185,7.730392157014043e-05,0.050038921568628325,-0.02579607843137177,True
6.0_typical,2.0_typical,500,500,-0.05871893382352678,-0.009577916666665479,0.049141017156861304,-0.03340245098039085,False
6.0_typical,4.0_typical,500,500,-0.0352379289215677,0.01771549019607921,0.05295341911764691,-0.007906372549018603,True
6.0_typical,5.0_low,500,500,0.08798634803921526,0.13839100490195885,0.05040465686274359,0.11137254901960658,False
6.0_typical,4.0_low,150,150,0.09605882352941145,0.18706862745098002,0.09100980392156857,0.14235294117647024,False
6.0_typical,6.0_low,150,150,0.08908823529411777,0.17726470588235238,0.0881764705882346,0.1330392156862742,False
6.0_typical,3.0_low,350,350,0.07027030812324894,0.12685801820728126,0.05658771008403232,0.09768557422969149,False
6.0_typical,2.0_low,500,500,0.052896764705882254,0.1006009068627435,0.04770414215686125,0.07760343137254844,False
6.0_typical,6.0_high,50,50,0.035294117647058254,0.134117647058823,0.09882352941176475,0.08588235294117608,False
6.0_typical,5.0_high,300,300,0.07640145016339853,0.13869342320261197,0.06229197303921344,0.1069076797385613,False
6.0_typical,4.0_high,100,100,0.04874509803921523,0.1459725490196073,0.09722745098039207,0.09466666666666634,False
6.0_typical,3.0_high,200,200,0.0785259803921555,0.14796421568627416,0.06943823529411866,0.11250980392156817,False
6.0_typical,2.0_high,250,250,0.05152426470588166,0.11765367647058692,0.06612941176470526,0.08530882352941149,False
3.0_typical,2.0_typical,1500,1500,-0.01600040001256782,0.012016276709404621,0.02801667672197244,-0.001810369532428302,True
3.0_typical,4.0_typical,800,800,-0.012905828737747045,0.028517187499999555,0.0414230162377466,0.006882659313725004,True
3.0_typical,5.0_low,550,550,0.11338555035650483,0.16110456773618254,0.04771901737967771,0.1361426024955419,False
3.0_typical,4.0_low,150,150,0.10845232843137315,0.20509411764705873,0.09664178921568559,0.15559313725490198,False
3.0_typical,6.0_low,150,150,0.10449019607843144,0.1912386029411765,0.08674840686274507,0.14627941176470594,False
3.0_typical,3.0_low,350,350,0.09522899159663764,0.15173771008403164,0.056508718487394,0.1233214285714267,False
3.0_typical,2.0_low,500,500,0.0796186397058812,0.1282611151960769,0.04864247549019571,0.10339950980392021,False
3.0_typical,6.0_high,50,50,-0.025882352941176467,0.10355882352941204,0.1294411764705885,0.039999999999999925,True
3.0_typical,5.0_high,300,300,0.10363560049019407,0.16503970588235145,0.061404105392157377,0.13282924836601107,False
3.0_typical,4.0_high,100,100,0.05582941176470524,0.15345294117647018,0.09762352941176494,0.10290196078431335,False
3.0_typical,3.0_high,200,200,0.08571617647058855,0.16646446078431323,0.08074828431372469,0.1251262254901958,False
3.0_typical,2.0_high,250,250,0.06301801470588136,0.12958041666666498,0.06656240196078361,0.09691666666666543,False
2.0_typical,4.0_typical,800,800,-0.001212193627453985,0.03736660539215529,0.038578799019609276,0.017758578431371297,True
2.0_typical,5.0_low,550,550,0.1169029188948282,0.1662243092691596,0.04932139037433139,0.14102540106951644,False
