group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
low_female,low_male,850,850,1.0,0.63,0.88,,,,-0.019790888119951507,0.017475086505191837,-0.0007427912341393395
low_female,low_male,1275,1275,1.5,0.58,0.87,,,,-0.01179500192233806,0.018535486351404517,0.003524798154557085
low_female,low_male,1700,1700,2.0,0.44,0.84,,,,-0.011817358708187417,0.013963437139564942,0.0004982698961958354
low_female,low_male,2125,2125,2.5,0.32,0.85,,,,-0.009259152249133486,0.013711314878895079,0.0021220299884679994
low_female,low_male,2550,2550,3.0,0.21,0.81,,,,-0.009401350442137562,0.011327374086891951,0.0008456362937344641
low_female,low_male,2975,2975,3.5,0.18,0.75,,,,-0.006536818256712382,0.012422223595324071,0.0027527599275024572
low_female,low_male,3400,3400,4.0,0.12,0.77,,,,-0.003533264850052691,0.013791109789510654,0.004961649365632703
low_female,low_male,3825,3825,4.5,0.07,0.76,,,,-0.002522643534528298,0.01383269896194794,0.0058666538510889765
low_female,low_male,4250,4250,5.0,0.04,0.73,,,,-0.002740108131481298,0.013015670415232074,0.005293829296430852
low_female,high_female,500,500,1.0,0.93,0.76,,,,-0.04573980392156659,0.0026992156862746045,-0.02185882352941093
low_female,high_female,750,750,1.5,0.92,0.63,,,,-0.04625058823529235,-0.006493202614377976,-0.026886274509802632
low_female,high_female,1000,1000,2.0,0.92,0.59,,,,-0.03080392156862578,0.004945392156863612,-0.01292941176470519
low_female,high_female,1250,1250,2.5,0.91,0.46,,,,-0.02738007843137188,0.003916705882355306,-0.011331764705881264
low_female,high_female,1500,1500,3.0,0.93,0.37,,,,-0.022591372549018357,0.0067537908496773345,-0.007403921568626015
low_female,high_female,1750,1750,3.5,0.93,0.32,,,,-0.021388459383753063,0.004175350140057075,-0.008968067226890586
low_female,high_female,2000,2000,4.0,0.94,0.31,,,,-0.018609460784315062,0.0063923529411784065,-0.005788235294117983
low_female,high_female,2250,2250,4.5,0.89,0.23,,,,-0.01704627450980548,0.006000043572984604,-0.005511111111112688
low_female,high_female,2500,2500,5.0,0.9,0.21,,,,-0.017504784313728296,0.0036300784313681063,-0.0063717647058848526
low_male,high_female,500,500,1.0,0.95,0.66,,,,-0.042738235294115454,0.003122058823529665,-0.020735294117646186
low_male,high_female,750,750,1.5,0.96,0.63,,,,-0.03913970588235188,-0.00385931372549006,-0.02088235294117613
low_male,high_female,1000,1000,2.0,0.93,0.49,,,,-0.030838602941177677,0.0006466911764703605,-0.014367647058824318
low_male,high_female,1250,1250,2.5,0.91,0.43,,,,-0.031154411764706208,-0.0022799999999979746,-0.015494117647059213
low_male,high_female,1500,1500,3.0,0.91,0.31,,,,-0.024863235294115986,0.0012115196078443559,-0.011735294117646844
low_male,high_female,1750,1750,3.5,0.92,0.29,,,,-0.022042647058824777,0.002642016806723678,-0.00983193277311023
low_male,high_female,2000,2000,4.0,0.91,0.24,,,,-0.021147977941180313,0.002331066176470324,-0.009161764705884257
low_male,high_female,2250,2250,4.5,0.91,0.14,,,,-0.021383660130720857,0.001183660130716916,-0.0098431372549046
low_male,high_female,2500,2500,5.0,0.9,0.12,,,,-0.01745544117647427,0.0034647058823497057,-0.006647058823533003
high_male,high_female,500,500,1.0,0.26,1.0,,,,-0.01247156862745176,0.026758823529409632,0.007843137254901156
high_male,high_female,750,750,1.5,0.15,1.0,,,,-0.0057013071895424434,0.026720261437907584,0.011320261437907542
high_male,high_female,1000,1000,2.0,0.03,1.0,,,,0.006038725490196198,0.035828431372548444,0.020901960784313278
high_male,high_female,1250,1250,2.5,0.02,1.0,,,,0.0061959999999993964,0.032188078431372225,0.01984941176470545
high_male,high_female,1500,1500,3.0,0.0,1.0,,,,0.00920405228758299,0.033272222222222425,0.020622222222222986
high_male,high_female,1750,1750,3.5,0.0,1.0,,,,0.010347507002801112,0.03201680672268844,0.021494677871148893
high_male,high_female,2000,2000,4.0,0.0,1.0,,,,0.013642990196077384,0.03340990196078432,0.02324901960784298
high_male,high_female,2250,2250,4.5,0.0,1.0,,,,0.012651808278865403,0.03239721132897644,0.02227973856209109
high_male,high_female,2500,2500,5.0,0.0,1.0,,,,0.014146235294116488,0.032409764705881056,0.02325803921568559
