group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
6.0,3.0,750,750,1.0,1.0,0.22,,,,-0.05344866013071942,-0.012172361111110593,-0.03219281045751621
6.0,3.0,1125,1125,1.5,1.0,0.08,,,,-0.04297302287581671,-0.01067989651415948,-0.027313507625272293
6.0,3.0,1500,1500,2.0,1.0,0.01,,,,-0.03580982026143741,-0.009186233660132215,-0.022692320261438637
6.0,3.0,1875,1875,2.5,1.0,0.0,,,,-0.03404185294117858,-0.009920202614378051,-0.02173686274509845
6.0,3.0,2250,2250,3.0,1.0,0.0,,,,-0.03702833877995759,-0.013044112200438926,-0.025410675381263736
6.0,3.0,2625,2625,3.5,1.0,0.0,,,,-0.03947234360410849,-0.017888851540614294,-0.02796647992530288
6.0,3.0,3000,3000,4.0,1.0,0.0,,,,-0.038080753676468085,-0.0185598120914984,-0.0286535130718949
6.0,3.0,3375,3375,4.5,1.0,0.0,,,,-0.0353906408859867,-0.01646239832970446,-0.02621220043573247
6.0,3.0,3750,3750,5.0,1.0,0.0,,,,-0.03424418790850693,-0.017243455882361418,-0.02577111111111874
6.0,4.0,750,750,1.0,0.93,0.55,,,,-0.04878922385620938,-0.00765614379084921,-0.02759640522875817
6.0,4.0,1125,1125,1.5,0.97,0.39,,,,-0.0360218300653609,-0.0026519662309387113,-0.019222222222224028
6.0,4.0,1500,1500,2.0,0.97,0.24,,,,-0.03010566176470684,-0.0010559027777783704,-0.0155071895424852
6.0,4.0,1875,1875,2.5,0.94,0.18,,,,-0.02694218954248442,-0.0005328921568632274,-0.014287320261438419
6.0,4.0,2250,2250,3.0,0.96,0.12,,,,-0.02732889978213384,-0.0037219253812636813,-0.01550762527233096
6.0,4.0,2625,2625,3.5,0.97,0.06,,,,-0.030210443510739003,-0.00876215686274517,-0.01927441643323946
6.0,4.0,3000,3000,4.0,0.96,0.05,,,,-0.026010627042483407,-0.005076607434640102,-0.015229575163398512
6.0,4.0,3375,3375,4.5,0.97,0.02,,,,-0.024319569716781193,-0.004859983660135705,-0.014402759622370587
6.0,4.0,3750,3750,5.0,0.98,0.01,,,,-0.02262398529412689,-0.004238993464059176,-0.0136789542483724
3.0,2.0,2100,2100,1.0,0.94,0.19,,,,-0.019278279645193887,0.00639637178589143,-0.00628002226531954
3.0,2.0,3150,3150,1.5,0.94,0.05,,,,-0.015872347165364918,0.005154019877180751,-0.005324014221074869
3.0,2.0,4200,4200,2.0,0.9,0.02,,,,-0.01682020813133344,0.00033098200818753795,-0.008026812648136317
3.0,2.0,5250,5250,2.5,0.93,0.01,,,,-0.014670337570928461,0.0007478697119869069,-0.0070813474107590535
3.0,2.0,6300,6300,3.0,0.89,0.0,,,,-0.014502483001751259,-0.0007474718092369947,-0.007534271828390282
3.0,2.0,7350,7350,3.5,0.87,0.0,,,,-0.01461401349001817,-0.002186871928258437,-0.008401965914572762
3.0,2.0,8400,8400,4.0,0.86,0.0,,,,-0.012751175494242806,-0.000559918109871077,-0.00678152382748165
3.0,2.0,9450,9450,4.5,0.82,0.0,,,,-0.013075890163762191,-0.0006141740884401045,-0.007092939740001025
3.0,2.0,10500,10500,5.0,0.83,0.0,,,,-0.011910791810318363,-0.0010603145873743225,-0.006355214393451658
3.0,4.0,1100,1100,1.0,0.39,0.94,,,,-0.014497331773619133,0.018229239081997677,0.0022337344028520167
3.0,4.0,1650,1650,1.5,0.24,0.96,,,,-0.0038651255199018304,0.024211322786695133,0.009651960784315405
3.0,4.0,2200,2200,2.0,0.15,0.98,,,,-0.0020284090909090426,0.022457868204101093,0.010641599821747172
3.0,4.0,2750,2750,2.5,0.06,0.95,,,,0.00011532085561593089,0.02116129010695308,0.010281550802138661
3.0,4.0,3300,3300,3.0,0.04,0.97,,,,0.0015854370915022488,0.02201544303327531,0.012275401069518965
3.0,4.0,3850,3850,3.5,0.02,0.96,,,,0.0027422141583904013,0.020308560924374375,0.01127591036414699
3.0,4.0,4400,4400,4.0,0.01,0.98,,,,0.00502178587343774,0.021353881183156165,0.013044396167559591
3.0,4.0,4950,4950,4.5,0.01,0.96,,,,0.006351276242825346,0.021911393345222234,0.013958902753023916
3.0,4.0,5500,5500,5.0,0.01,0.96,,,,0.005579581105169654,0.020427339572195155,0.012774197860966674
2.0,4.0,1100,1100,1.0,0.18,1.0,,,,-0.008553735174141402,0.023848125342794055,0.007548008364184011
2.0,4.0,1650,1650,1.5,0.1,1.0,,,,-0.003983709550251586,0.02413308252205713,0.01017579642579769
2.0,4.0,2200,2200,2.0,0.03,1.0,,,,-0.000435629841969723,0.023000846702319735,0.011062997051969448
2.0,4.0,2750,2750,2.5,0.0,1.0,,,,-0.001250802824623743,0.019949645036340485,0.009328671328674099
2.0,4.0,3300,3300,3.0,0.0,1.0,,,,0.0031834223170621526,0.024250189393937915,0.013771516065634981
2.0,4.0,3850,3850,3.5,0.0,1.0,,,,0.003634205867664001,0.020935268530489128,0.012539259759848598
2.0,4.0,4400,4400,4.0,0.0,1.0,,,,0.007829018193814315,0.02434112483717295,0.016101668552036652
2.0,4.0,4950,4950,4.5,0.0,1.0,,,,0.008770569857704743,0.02491479234273438,0.01678388713683021
2.0,4.0,5500,5500,5.0,0.0,1.0,,,,0.008819735791171613,0.02366352032771814,0.015922699849172606
