group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
5.0_typical,6.0_high,50,50,1.0,1.0,0.84,,,,-0.07529411764705884,0.037647058823529256,-0.018823529411764794
5.0_typical,6.0_high,75,75,1.5,1.0,0.76,,,,-0.05254901960784275,0.03921568627450957,-0.007058823529411673
5.0_typical,6.0_high,100,100,2.0,1.0,0.67,,,,-0.04883823529411718,0.029411764705882484,-0.0111764705882349
5.0_typical,6.0_high,125,125,2.5,1.0,0.51,,,,-0.04376470588235204,0.022117647058824352,-0.01035294117647012
5.0_typical,6.0_high,150,150,3.0,1.0,0.42,,,,-0.04549019607843097,0.020401960784314603,-0.014117647058823124
5.0_typical,6.0_high,175,175,3.5,1.0,0.35,,,,-0.044705882352940596,0.017815126050419905,-0.0124369747899159
5.0_typical,6.0_high,200,200,4.0,1.0,0.26,,,,-0.05147794117647073,0.007352941176470229,-0.02176470588235302
5.0_typical,6.0_high,225,225,4.5,1.0,0.21,,,,-0.053856209150327294,-0.0005228758169942838,-0.02692810457516348
5.0_typical,6.0_high,250,250,5.0,1.0,0.18,,,,-0.053647058823528396,-0.0011705882352938055,-0.027058823529411358
5.0_typical,4.0_high,100,100,1.0,0.79,0.99,,,,-0.05298529411764737,0.04236764705882307,-0.007647058823529451
5.0_typical,4.0_high,150,150,1.5,0.77,0.99,,,,-0.02039215686274598,0.05257843137254804,0.016862745098038756
5.0_typical,4.0_high,200,200,2.0,0.73,0.98,,,,-0.01561519607843262,0.04643186274509674,0.015568627450979977
5.0_typical,4.0_high,250,250,2.5,0.64,0.99,,,,-0.014118431372548493,0.04302784313725546,0.014807843137255028
5.0_typical,4.0_high,300,300,3.0,0.62,1.0,,,,-0.0023836601307185706,0.04701960784313687,0.021346405228758192
5.0_typical,4.0_high,350,350,3.5,0.59,0.99,,,,-0.0022224089635850056,0.04399719887955218,0.021467787114846093
5.0_typical,4.0_high,400,400,4.0,0.51,0.98,,,,-0.007000735294115837,0.038621323529410466,0.01495098039215681
5.0_typical,4.0_high,450,450,4.5,0.48,0.96,,,,-0.007240522875816488,0.03360043572984672,0.013159041394335214
5.0_typical,4.0_high,500,500,5.0,0.44,0.98,,,,-0.0016327450980382907,0.03609980392156861,0.01760784313725461
5.0_typical,2.0_high,250,250,1.0,0.52,0.99,,,,-0.01940452488687721,0.04271809954751177,0.011185520361991164
5.0_typical,2.0_high,375,375,1.5,0.37,1.0,,,,-0.012989643036702192,0.038144977375564285,0.012769431875313542
5.0_typical,2.0_high,500,500,2.0,0.24,1.0,,,,-0.012016470588233755,0.02831236802413324,0.008518250377073877
5.0_typical,2.0_high,625,625,2.5,0.17,1.0,,,,-0.012642099547510489,0.02795757466063286,0.007621598793363327
5.0_typical,2.0_high,750,750,3.0,0.1,1.0,,,,-0.0016885872297642338,0.03320511814982394,0.015114731020613004
5.0_typical,2.0_high,875,875,3.5,0.04,1.0,,,,-0.0017819435466485956,0.03100637793579032,0.014217280758457629
5.0_typical,2.0_high,1000,1000,4.0,0.03,1.0,,,,0.00388046757164668,0.0333552413273006,0.01815384615384652
5.0_typical,2.0_high,1125,1125,4.5,0.01,1.0,,,,0.002616215853865192,0.03280744762862463,0.018280542986425785
5.0_typical,2.0_high,1250,1250,5.0,0.0,1.0,,,,0.004827167420814182,0.03239939668175009,0.01860464555052843
6.0_typical,3.0_typical,500,500,1.0,1.0,0.3,,,,-0.058705808823527716,-0.008020526960782697,-0.0331642156862737
