group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
5.0_female,6.0_female,200,200,1.0,1.0,0.53,,,,-0.07879901960784226,0.00798823529411763,-0.03731372549019585
5.0_female,6.0_female,300,300,1.5,0.99,0.28,,,,-0.07193300653594482,-0.003948366013070553,-0.03858823529411637
5.0_female,6.0_female,400,400,2.0,1.0,0.19,,,,-0.06852205882352741,-0.003188480392155024,-0.036137254901959404
5.0_female,6.0_female,500,500,2.5,1.0,0.11,,,,-0.07407117647058668,-0.01924470588235226,-0.04737254901960686
5.0_female,6.0_female,600,600,3.0,1.0,0.07,,,,-0.06604673202614239,-0.01702549019607716,-0.04232026143790768
5.0_female,6.0_female,700,700,3.5,1.0,0.06,,,,-0.0694652661064408,-0.02180252100840302,-0.04501400560224056
5.0_female,6.0_female,800,800,4.0,1.0,0.02,,,,-0.06778088235294111,-0.02296960784313601,-0.04452941176470626
5.0_female,6.0_female,900,900,4.5,1.0,0.0,,,,-0.06454716775599026,-0.024135403050107265,-0.04396078431372552
5.0_female,6.0_female,1000,1000,5.0,1.0,0.01,,,,-0.0609583333333326,-0.022147843137252987,-0.04091372549019634
5.0_female,5.0_male,1150,1150,1.0,0.96,0.39,,,,-0.04024329710145322,-0.007963416453540956,-0.02396803069053921
5.0_female,5.0_male,1725,1725,1.5,0.95,0.21,,,,-0.03075402895271978,-0.004079125407131415,-0.01752324742606237
5.0_female,5.0_male,2300,2300,2.0,0.96,0.14,,,,-0.023736576168930604,-0.00095797531805452,-0.012048445799724639
5.0_female,5.0_male,2875,2875,2.5,0.95,0.06,,,,-0.022863241360089565,-0.003062628369073124,-0.01281937176208181
5.0_female,5.0_male,3450,3450,3.0,0.91,0.04,,,,-0.0230497636457001,-0.004490580939727519,-0.01363480118914584
5.0_female,5.0_male,4025,4025,3.5,0.93,0.01,,,,-0.02139882849460282,-0.003741313950320759,-0.01246815716252414
5.0_female,5.0_male,4600,4600,4.0,0.93,0.01,,,,-0.02344475795543231,-0.0076236419191354175,-0.015450709882608105
5.0_female,5.0_male,5175,5175,4.5,0.92,0.0,,,,-0.022353905356263856,-0.007290962066720884,-0.014870632682643992
5.0_female,5.0_male,5750,5750,5.0,0.93,0.0,,,,-0.020633506541400986,-0.006127658207084597,-0.01327853957635583
6.0_female,3.0_female,200,200,1.0,0.84,0.95,,,,-0.0017656862745111107,0.08963480392156671,0.045843137254900745
6.0_female,3.0_female,300,300,1.5,0.87,0.96,,,,-0.0068924836601322315,0.06860130718953994,0.029581699346403867
6.0_female,3.0_female,400,400,2.0,0.85,0.96,,,,-0.014431862745099486,0.04939901960783982,0.0170392156862732
6.0_female,3.0_female,500,500,2.5,0.83,0.92,,,,-0.007681764705883873,0.04738627450980156,0.01996862745097916
6.0_female,3.0_female,600,600,3.0,0.79,0.89,,,,-0.009318137254903193,0.04326258169934295,0.017287581699344967
6.0_female,3.0_female,700,700,3.5,0.78,0.9,,,,-0.012317086834735105,0.03747450980391965,0.013137254901959494
6.0_female,3.0_female,800,800,4.0,0.79,0.92,,,,-0.010507230392160102,0.03689705882352702,0.01237745098039067
6.0_female,3.0_female,900,900,4.5,0.7,0.91,,,,-0.006404357298478006,0.03548605664487952,0.015298474945532381
6.0_female,3.0_female,1000,1000,5.0,0.74,0.89,,,,-0.005180588235296012,0.03608274509803755,0.015525490196076741
6.0_female,2.0_female,200,200,1.0,0.99,0.84,,,,-0.012665441176469963,0.08558455882352863,0.03498161764705887
6.0_female,2.0_female,300,300,1.5,0.98,0.83,,,,-0.029053615196078554,0.04881372549019486,0.009791666666666088
6.0_female,2.0_female,400,400,2.0,1.0,0.71,,,,-0.024749540441176505,0.04249471507352806,0.007931985294117094
6.0_female,2.0_female,500,500,2.5,0.98,0.62,,,,-0.02370257352941261,0.03750753676470553,0.005867647058823144
6.0_female,2.0_female,600,600,3.0,0.98,0.58,,,,-0.028360294117646925,0.024903186274508146,-0.0018750000000004041
6.0_female,2.0_female,700,700,3.5,1.0,0.52,,,,-0.03388891806722669,0.01694892331932664,-0.007830882352941493
6.0_female,2.0_female,800,800,4.0,0.99,0.46,,,,-0.0330332031250015,0.014239085477939888,-0.009356617647059418
6.0_female,2.0_female,900,900,4.5,0.98,0.43,,,,-0.026296160130719958,0.0180832312091498,-0.004072712418301094
6.0_female,2.0_female,1000,1000,5.0,0.98,0.4,,,,-0.025964613970588978,0.015563970588234024,-0.005665441176471164
6.0_female,4.0_female,200,200,1.0,0.9,0.97,,,,0.002338235294116406,0.10207352941176337,0.052941176470587825
6.0_female,4.0_female,300,300,1.5,0.83,0.97,,,,0.016274509803919854,0.09863235294117413,0.05588235294117483
6.0_female,4.0_female,400,400,2.0,0.82,0.99,,,,0.004253676470586484,0.07529411764705551,0.038823529411762925
6.0_female,4.0_female,500,500,2.5,0.79,0.98,,,,0.005876470588233512,0.06870882352940944,0.03858823529411615
6.0_female,4.0_female,600,600,3.0,0.77,0.95,,,,0.004215686274506969,0.057561274509800524,0.030392156862743103
6.0_female,4.0_female,700,700,3.5,0.74,0.95,,,,0.007813025210081224,0.056974789915963386,0.032100840336132586
6.0_female,4.0_female,800,800,4.0,0.67,0.95,,,,0.0013933823529380593,0.04949080882352669,0.0245588235294103
6.0_female,4.0_female,900,900,4.5,0.61,0.95,,,,0.00025653594770868454,0.045823529411762584,0.02326797385620727
6.0_female,4.0_female,1000,1000,5.0,0.61,0.94,,,,-0.003297058823532255,0.04141470588235125,0.019235294117645685
6.0_female,5.0_male,200,200,1.0,0.34,1.0,,,,0.011235294117646219,0.08588529411764577,0.04947058823529327
6.0_female,5.0_male,300,300,1.5,0.15,1.0,,,,0.01780196078431029,0.08326470588235017,0.05223529411764516
6.0_female,5.0_male,400,400,2.0,0.08,1.0,,,,0.017822058823527387,0.0703610294117602,0.04417647058823304
6.0_female,5.0_male,500,500,2.5,0.05,1.0,,,,0.021947058823528348,0.06902117647058632,0.04534117647058711
6.0_female,5.0_male,600,600,3.0,0.02,1.0,,,,0.022287091503267922,0.06552369281045631,0.04424183006535909
6.0_female,5.0_male,700,700,3.5,0.0,1.0,,,,0.02044229691876761,0.0579746498599442,0.03926610644257722
6.0_female,5.0_male,800,800,4.0,0.0,1.0,,,,0.022221323529410475,0.05855441176470592,0.04010784313725557
6.0_female,5.0_male,900,900,4.5,0.0,1.0,,,,0.023837472766882424,0.059009803921566684,0.04062309368191663
6.0_female,5.0_male,1000,1000,5.0,0.0,1.0,,,,0.025803235294115844,0.05912303921568539,0.041494117647057904
6.0_female,4.0_male,200,200,1.0,0.96,0.89,,,,-0.029307107843138946,0.04992622549019422,0.009058823529411009
6.0_female,4.0_male,300,300,1.5,0.98,0.78,,,,-0.033309313725491195,0.033753104575161244,0.0017516339869272368
6.0_female,4.0_male,400,400,2.0,0.98,0.78,,,,-0.028017769607843905,0.03465894607843005,0.0027156862745093546
6.0_female,4.0_male,500,500,2.5,0.97,0.65,,,,-0.02468264705882347,0.029723725490195203,0.001803921568627409
6.0_female,4.0_male,600,600,3.0,0.96,0.65,,,,-0.028450163398692507,0.017783496732026803,-0.004977124183006221
6.0_female,4.0_male,700,700,3.5,0.95,0.54,,,,-0.032436344537814306,0.010321848739496608,-0.010011204481792046
6.0_female,4.0_male,800,800,4.0,0.95,0.54,,,,-0.027280453431373627,0.012701102941175529,-0.0077328431372554185
6.0_female,4.0_male,900,900,4.5,0.96,0.51,,,,-0.022305664488018788,0.01726824618736288,-0.002263616557734882
6.0_female,4.0_male,1000,1000,5.0,0.96,0.41,,,,-0.0200713725490228,0.015843725490195734,-0.0027705882352947464
6.0_female,6.0_male,200,200,1.0,0.91,0.97,,,,-0.02368774509803949,0.05827843137254857,0.016215686274509533
6.0_female,6.0_male,300,300,1.5,0.91,0.98,,,,-0.034294117647060404,0.031168300653592253,-0.002915032679740248
6.0_female,6.0_male,400,400,2.0,0.9,0.96,,,,-0.028402205882353468,0.03033700980391893,0.0016372549019593174
6.0_female,6.0_male,500,500,2.5,0.9,0.89,,,,-0.027900784313725363,0.025767647058821615,-0.0015921568627459415
6.0_female,6.0_male,600,600,3.0,0.88,0.89,,,,-0.025827941176471664,0.022007843137253992,-0.0027973856209153602
6.0_female,6.0_male,700,700,3.5,0.83,0.88,,,,-0.024037535014005674,0.01890658263305267,-0.0034621848739493366
6.0_female,6.0_male,800,800,4.0,0.83,0.89,,,,-0.021682107843137816,0.018282598039215118,-0.002651960784313734
6.0_female,6.0_male,900,900,4.5,0.8,0.87,,,,-0.020028104575163352,0.016967538126362067,-0.002531590413943463
6.0_female,6.0_male,1000,1000,5.0,0.79,0.84,,,,-0.022677745098039985,0.012780588235293534,-0.004407843137255285
6.0_female,2.0_male,200,200,1.0,0.99,0.72,,,,-0.04018841911764714,0.039596507352940256,0.0004044117647057366
6.0_female,2.0_male,300,300,1.5,1.0,0.57,,,,-0.03159444444444543,0.030389419934638468,0.0003692810457506246
6.0_female,2.0_male,400,400,2.0,1.0,0.43,,,,-0.033069301470588584,0.021997947303919848,-0.004226715686275528
6.0_female,2.0_male,500,500,2.5,1.0,0.29,,,,-0.03002514705882357,0.019019215686274165,-0.005690196078431353
6.0_female,2.0_male,600,600,3.0,1.0,0.25,,,,-0.028603145424837783,0.01693611111110976,-0.00609722222222242
6.0_female,2.0_male,700,700,3.5,0.99,0.2,,,,-0.029871376050419483,0.010980287114845555,-0.010270308123249139
6.0_female,2.0_male,800,800,4.0,0.99,0.12,,,,-0.02977014399510075,0.008385003063722668,-0.011679534313726703
6.0_female,2.0_male,900,900,4.5,0.99,0.09,,,,-0.02908243464052548,0.005882734204790362,-0.012333877995644449
6.0_female,2.0_male,1000,1000,5.0,0.99,0.08,,,,-0.03108727941176869,0.0044571446078408815,-0.013347549019609994
3.0_female,2.0_female,1050,1050,1.0,1.0,0.36,,,,-0.03225955298786502,0.007937791783378736,-0.01213608776844144
3.0_female,2.0_female,1575,1575,1.5,0.98,0.18,,,,-0.02721886087768697,0.002932279022719777,-0.012527544351075393
3.0_female,2.0_female,2100,2100,2.0,0.99,0.13,,,,-0.027247254318395628,-0.0012435253267973866,-0.014014589169001668
3.0_female,2.0_female,2625,2625,2.5,1.0,0.06,,,,-0.023454558823527993,0.00016390056022551336,-0.012054715219420808
3.0_female,2.0_female,3150,3150,3.0,1.0,0.0,,,,-0.024324651805173694,-0.0014191954559635914,-0.012290227201997017
3.0_female,2.0_female,3675,3675,3.5,1.0,0.0,,,,-0.02417176370548857,-0.0030837468320704838,-0.013364612511677754
3.0_female,2.0_female,4200,4200,4.0,0.98,0.01,,,,-0.024522193043892544,-0.004890026844078174,-0.01440178571429429
3.0_female,2.0_female,4725,4725,4.5,0.97,0.0,,,,-0.024463231403682693,-0.005855921257398814,-0.015087457205113175
3.0_female,2.0_female,5250,5250,5.0,0.98,0.0,,,,-0.024330017507012837,-0.006567782446318057,-0.015278244631195648
3.0_female,4.0_female,400,400,1.0,0.75,0.98,,,,-0.0076161764705891186,0.05867696078431265,0.02634313725490145
3.0_female,4.0_female,600,600,1.5,0.65,0.98,,,,-0.006354575163397935,0.045974183006536745,0.019856209150327042
3.0_female,4.0_female,800,800,2.0,0.49,0.96,,,,-0.01267291666666684,0.033552450980392584,0.011151960784314352
3.0_female,4.0_female,1000,1000,2.5,0.49,0.99,,,,-0.011636666666667302,0.029347254901961904,0.008776470588236163
3.0_female,4.0_female,1200,1200,3.0,0.42,0.99,,,,-0.009287663398691498,0.03019444444444535,0.010901960784314713
3.0_female,4.0_female,1400,1400,3.5,0.38,0.99,,,,-0.010264635854339708,0.025116456582636414,0.007081232492998635
3.0_female,4.0_female,1600,1600,4.0,0.29,0.97,,,,-0.01274491421568744,0.019192095588236383,0.0028921568627457983
3.0_female,4.0_female,1800,1800,4.5,0.3,0.97,,,,-0.016610838779956453,0.016120533769064853,-0.00013289760348567103
3.0_female,4.0_female,2000,2000,5.0,0.21,0.99,,,,-0.011694705882353131,0.018949901960783996,0.0031784313725491398
3.0_female,4.0_male,700,700,1.0,0.78,0.88,,,,-0.007861904761903113,0.03606071428571436,0.01361904761904853
3.0_female,4.0_male,1050,1050,1.5,0.69,0.86,,,,-0.01506788048552779,0.02033081232492998,0.0029598506069092867
3.0_female,4.0_male,1400,1400,2.0,0.71,0.8,,,,-0.014891106442579786,0.014916408438374017,-0.00015878851540807037
3.0_female,4.0_male,1750,1750,2.5,0.59,0.81,,,,-0.01654137605042063,0.010842128851539217,-0.003289355742297606
3.0_female,4.0_male,2100,2100,3.0,0.57,0.71,,,,-0.012024813258635312,0.011964994747901352,-0.00024253034547006003
3.0_female,4.0_male,2450,2450,3.5,0.51,0.67,,,,-0.009920135554221315,0.01276147208883663,0.001445578231294986
3.0_female,4.0_male,2800,2800,4.0,0.49,0.65,,,,-0.010926908263302133,0.01056162902661512,9.094887955563014e-05
3.0_female,4.0_male,3150,3150,4.5,0.42,0.58,,,,-0.00964808784624824,0.011035537270467919,0.0004499688764426635
3.0_female,4.0_male,3500,3500,5.0,0.36,0.56,,,,-0.00929585784313392,0.009445681022408812,-0.00012689075630056834
3.0_female,6.0_male,500,500,1.0,0.44,0.99,,,,-0.0026308823529419614,0.04950664215686097,0.024529901960783418
3.0_female,6.0_male,750,750,1.5,0.28,1.0,,,,-0.000520612745097751,0.04240788398692859,0.02070751633986967
3.0_female,6.0_male,1000,1000,2.0,0.15,1.0,,,,0.0005897058823516876,0.03795981617647084,0.018381617647059034
3.0_female,6.0_male,1250,1250,2.5,0.06,1.0,,,,-0.003747754901963052,0.029406460784310983,0.012722549019607565
3.0_female,6.0_male,1500,1500,3.0,0.03,1.0,,,,-0.002952667483662068,0.026695220588234283,0.012340686274509682
3.0_female,6.0_male,1750,1750,3.5,0.01,1.0,,,,-0.001793904061622078,0.0254620763305331,0.011287114845939916
3.0_female,6.0_male,2000,2000,4.0,0.0,1.0,,,,-0.001389761029407667,0.024681219362749196,0.011781127450983031
3.0_female,6.0_male,2250,2250,4.5,0.0,1.0,,,,-0.0016043273420432956,0.022420408496735638,0.009895206971679782
3.0_female,6.0_male,2500,2500,5.0,0.0,1.0,,,,-0.0020320735294098793,0.020996026960786493,0.00961901960784517
3.0_female,2.0_male,1050,1050,1.0,0.88,0.68,,,,-0.02131939192343705,0.01465578314659131,-0.004247198879552716
3.0_female,2.0_male,1575,1575,1.5,0.9,0.49,,,,-0.0209432033924717,0.006793600217862048,-0.006777933395582081
3.0_female,2.0_male,2100,2100,2.0,0.84,0.35,,,,-0.016558908146589203,0.007504052871149112,-0.00489589169000848
