group1,group2
default,sit_to_stand
default,stand_to_sit
counting_in_1,answer_phone_talk
counting_in_1,listing_in_index_4
counting_in_1,corridor_idle_1
counting_in_1,listing_in_thumb_2
counting_in_1,listing_in_thumb_3
counting_in_1,stretch
counting_in_1,standing_pointing
counting_in_1,typing
counting_in_1,shrug_hands_out
counting_in_1,elbow_bump
counting_in_1,counting_out_5
counting_in_1,listing_out_index_2
counting_in_1,cool_pose
counting_in_1,shake_head_no
counting_in_1,opens_arms_hand_talking
counting_in_1,listing_out_index_5
counting_in_1,stand_idle_3
counting_in_1,market_checkout_2
counting_in_1,counting_in_4
counting_in_1,chat_side
counting_in_1,stand_idle_1
counting_in_1,hand_talking_3
counting_in_1,listing_out_index_3
counting_in_1,arms_X
counting_in_1,holding_stand
counting_in_1,looking_stand_02
counting_in_1,wave_hello
counting_in_1,thumbs_down
counting_in_1,listing_in_index_2
counting_in_1,inplace_idle_waiting
counting_in_1,wave
counting_in_1,chat_left
counting_in_1,ok
counting_in_1,listing_in_thumb_1
counting_in_1,listing_out_index_4
counting_in_1,drink_from_glass
counting_in_1,hand_arms_dance
counting_in_1,listing_in_index_1
counting_in_1,listing_in_thumb_4
counting_in_1,listing_out_index_1
counting_in_1,arms_X_head_shake
counting_in_1,pour
counting_in_1,listing_out_thumb_1
counting_in_1,counting_in_2
counting_in_1,thumbs_up
counting_in_1,counting_in_3
counting_in_1,chat_right
counting_in_1,holding_walk
counting_in_1,stand_idle_2
counting_in_1,listing_in_index_3
counting_in_1,walk_in_place
counting_in_1,stretch_arms_2
counting_in_1,apply_lipstick
counting_in_1,general_looking
counting_in_1,corridor_idle_2
counting_in_1,counting_out_1
counting_in_1,waiting_stand
counting_in_1,idle
counting_in_1,listing_in_index_5
counting_in_1,air_swipe
counting_in_1,counting_out_4
counting_in_1,hand_talking_2
counting_in_1,counting_in_5
counting_in_1,look_right
counting_in_1,listing_out_thumb_3
counting_in_1,listing_out_thumb_4
counting_in_1,none
counting_in_1,high_five
counting_in_1,counting_out_3
counting_in_1,shake_hand_no
counting_in_1,counting_out_2
counting_in_1,raise_hand
counting_in_1,listing_in_thumb_5
counting_in_1,getting_ready
counting_in_1,listing_out_thumb_5
counting_in_1,reach_into_fridge
counting_in_1,open_door
counting_in_1,corridor_idle_3
counting_in_1,cleaning_idle
counting_in_1,keyboard_typing
counting_in_1,phone_check_quick
counting_in_1,screen_wipe
counting_in_1,drink_from_cup
counting_in_1,hands_behind_head
counting_in_1,use_gaming_controller
counting_in_1,looking_stand_01
counting_in_1,market_checkout_1
counting_in_1,look_left
counting_in_1,listing_out_thumb_2
counting_in_1,walking_towards_door
counting_in_1,whisper
counting_in_1,waving_arms_celebration
counting_in_1,hand_talking_1
counting_in_1,walking
counting_in_1,point_finger_stand
counting_in_1,pointing_vertical_surface
counting_in_1,jog
counting_in_1,shhhh
answer_phone_talk,listing_in_index_4
answer_phone_talk,corridor_idle_1
answer_phone_talk,listing_in_thumb_2
answer_phone_talk,listing_in_thumb_3
answer_phone_talk,stretch
answer_phone_talk,standing_pointing
answer_phone_talk,typing
answer_phone_talk,shrug_hands_out
answer_phone_talk,elbow_bump
answer_phone_talk,counting_out_5
answer_phone_talk,listing_out_index_2
answer_phone_talk,cool_pose
answer_phone_talk,shake_head_no
answer_phone_talk,opens_arms_hand_talking
answer_phone_talk,listing_out_index_5
answer_phone_talk,stand_idle_3
answer_phone_talk,market_checkout_2
answer_phone_talk,counting_in_4
answer_phone_talk,stand_idle_1
answer_phone_talk,hand_talking_3
answer_phone_talk,listing_out_index_3
answer_phone_talk,arms_X
answer_phone_talk,holding_stand
answer_phone_talk,looking_stand_02
answer_phone_talk,wave_hello
answer_phone_talk,thumbs_down
answer_phone_talk,listing_in_index_2
answer_phone_talk,inplace_idle_waiting
answer_phone_talk,wave
answer_phone_talk,chat_left
answer_phone_talk,ok
answer_phone_talk,listing_in_thumb_1
answer_phone_talk,listing_out_index_4
answer_phone_talk,drink_from_glass
