group1,group2,N1,N2,frac,pi_low,pi_high
5.0,1.0,2492,12,1.0,0.94,0.93
5.0,1.0,3741,15,1.5,0.94,0.96
5.0,1.0,4988,20,2.0,0.94,0.94
5.0,1.0,6231,29,2.5,0.97,0.93
5.0,1.0,7473,39,3.0,0.94,0.94
5.0,1.0,8715,49,3.5,0.95,0.95
5.0,1.0,9962,54,4.0,0.94,0.93
5.0,1.0,11210,58,4.5,0.95,0.94
5.0,1.0,12456,64,5.0,0.9,0.96
5.0,1.0,13701,71,5.5,0.89,0.96
5.0,1.0,14947,77,6.0,0.85,0.96
5.0,1.0,16193,83,6.5,0.86,0.96
5.0,1.0,17438,90,7.0,0.86,0.96
5.0,1.0,18678,102,7.5,0.79,0.97
5.0,1.0,19921,111,8.0,0.82,0.96
5.0,1.0,21162,122,8.5,0.79,0.96
5.0,1.0,22397,139,9.0,0.79,0.97
5.0,1.0,23639,149,9.5,0.76,0.96
6.0,4.0,758,1116,1.0,1.0,0.32
6.0,4.0,1143,1668,1.5,1.0,0.13
6.0,4.0,1522,2226,2.0,1.0,0.05
6.0,4.0,1899,2786,2.5,1.0,0.04
6.0,4.0,2275,3347,3.0,1.0,0.01
6.0,4.0,2659,3900,3.5,1.0,0.0
6.0,4.0,3007,4489,4.0,1.0,0.0
6.0,4.0,3390,5043,4.5,1.0,0.0
6.0,4.0,3775,5595,5.0,1.0,0.0
6.0,4.0,4189,6118,5.5,1.0,0.0
6.0,4.0,4571,6673,6.0,1.0,0.0
6.0,4.0,4938,7243,6.5,1.0,0.0
6.0,4.0,5301,7817,7.0,1.0,0.0
6.0,4.0,5667,8388,7.5,1.0,0.0
6.0,4.0,6008,8984,8.0,1.0,0.0
6.0,4.0,6369,9560,8.5,1.0,0.0
6.0,4.0,6746,10120,9.0,1.0,0.0
6.0,4.0,7112,10691,9.5,1.0,0.0
6.0,1.0,760,13,1.0,0.85,1.0
6.0,1.0,1139,21,1.5,0.79,1.0
6.0,1.0,1518,28,2.0,0.7,0.99
6.0,1.0,1900,32,2.5,0.61,1.0
6.0,1.0,2278,41,3.0,0.47,1.0
6.0,1.0,2657,49,3.5,0.39,1.0
6.0,1.0,3029,63,4.0,0.35,1.0
6.0,1.0,3409,69,4.5,0.3,1.0
6.0,1.0,3789,76,5.0,0.26,1.0
6.0,1.0,4168,84,5.5,0.18,1.0
