group1,group2,N1,N2,frac,pi_low,pi_high
5.0_female,5.0_male,1335,1153,1.0,0.94,0.46
5.0_female,5.0_male,1976,1756,1.5,0.91,0.32
5.0_female,5.0_male,2655,2321,2.0,0.85,0.24
5.0_female,5.0_male,3331,2889,2.5,0.78,0.21
5.0_female,5.0_male,3986,3478,3.0,0.75,0.16
5.0_female,5.0_male,4663,4045,3.5,0.73,0.09
5.0_female,5.0_male,5339,4613,4.0,0.69,0.06
5.0_female,5.0_male,6031,5165,4.5,0.66,0.03
5.0_female,5.0_male,6660,5780,5.0,0.64,0.01
5.0_female,5.0_male,7312,6372,5.5,0.62,0.0
5.0_female,5.0_male,7955,6973,6.0,0.6,0.0
5.0_female,5.0_male,8623,7549,6.5,0.54,0.0
5.0_female,5.0_male,9304,8112,7.0,0.57,0.0
5.0_female,5.0_male,9981,8679,7.5,0.56,0.0
5.0_female,5.0_male,10666,9238,8.0,0.53,0.0
5.0_female,5.0_male,11315,9833,8.5,0.53,0.0
5.0_female,5.0_male,12009,10383,9.0,0.47,0.0
5.0_female,5.0_male,12659,10977,9.5,0.47,0.0
5.0_female,1.0_female,1345,9,1.0,0.95,0.94
5.0_female,1.0_female,2012,19,1.5,0.94,0.95
5.0_female,1.0_female,2682,26,2.0,0.9,0.96
5.0_female,1.0_female,3344,41,2.5,0.91,0.96
5.0_female,1.0_female,4012,50,3.0,0.91,0.98
5.0_female,1.0_female,4681,58,3.5,0.89,0.96
5.0_female,1.0_female,5352,64,4.0,0.88,0.97
5.0_female,1.0_female,6024,69,4.5,0.87,0.97
5.0_female,1.0_female,6692,78,5.0,0.87,0.95
5.0_female,1.0_female,7361,86,5.5,0.82,0.96
5.0_female,1.0_female,8029,95,6.0,0.84,0.97
5.0_female,1.0_female,8699,102,6.5,0.8,0.98
5.0_female,1.0_female,9371,107,7.0,0.78,0.98
5.0_female,1.0_female,10043,112,7.5,0.79,0.98
5.0_female,1.0_female,10710,122,8.0,0.77,0.98
5.0_female,1.0_female,11386,123,8.5,0.79,0.98
5.0_female,1.0_female,12051,135,9.0,0.75,0.98
5.0_female,1.0_female,12724,139,9.5,0.77,0.98
6.0_female,3.0_female,248,1057,1.0,1.0,0.54
6.0_female,3.0_female,359,1599,1.5,0.99,0.31
6.0_female,3.0_female,486,2124,2.0,0.99,0.23
6.0_female,3.0_female,604,2658,2.5,1.0,0.16
6.0_female,3.0_female,735,3180,3.0,1.0,0.11
6.0_female,3.0_female,876,3692,3.5,1.0,0.05
6.0_female,3.0_female,992,4228,4.0,1.0,0.05
6.0_female,3.0_female,1121,4751,4.5,1.0,0.02
6.0_female,3.0_female,1252,5273,5.0,1.0,0.0
6.0_female,3.0_female,1376,5802,5.5,1.0,0.0
6.0_female,3.0_female,1508,6322,6.0,1.0,0.0
6.0_female,3.0_female,1635,6847,6.5,1.0,0.0
6.0_female,3.0_female,1752,7383,7.0,1.0,0.0
6.0_female,3.0_female,1875,7913,7.5,1.0,0.0
6.0_female,3.0_female,1976,8464,8.0,1.0,0.0
6.0_female,3.0_female,2096,8996,8.5,1.0,0.0
6.0_female,3.0_female,2215,9530,9.0,1.0,0.0
6.0_female,3.0_female,2329,10069,9.5,1.0,0.0
6.0_female,4.0_female,237,413,1.0,0.98,0.84
6.0_female,4.0_female,354,621,1.5,0.98,0.79
6.0_female,4.0_female,489,811,2.0,0.95,0.74
6.0_female,4.0_female,614,1011,2.5,0.96,0.65
6.0_female,4.0_female,733,1217,3.0,0.93,0.59
6.0_female,4.0_female,853,1422,3.5,0.93,0.56
6.0_female,4.0_female,962,1638,4.0,0.93,0.45
6.0_female,4.0_female,1071,1854,4.5,0.95,0.42
6.0_female,4.0_female,1185,2065,5.0,0.94,0.34
6.0_female,4.0_female,1304,2271,5.5,0.95,0.35
