group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
4,1,50,50,1.0,0.96,0.82,,,,-0.03985443882098295,0.012200843519226193,-0.01544359562006603
4,1,75,75,1.5,0.97,0.82,,,,-0.03572805046260885,0.016625420168067652,-0.009342415754180156
4,1,100,100,2.0,0.95,0.75,,,,-0.03030593964858658,0.01743985946651385,-0.008662114845938373
4,1,125,125,2.5,0.96,0.71,,,,-0.023674277438247696,0.019350461548255392,-0.004040081487140301
4,1,150,150,3.0,0.94,0.67,,,,-0.027674170070125757,0.010720992324668926,-0.008214719920602187
4,1,175,175,3.5,0.98,0.65,,,,-0.02366174854557155,0.013873322755676088,-0.0045587955461902085
4,1,200,200,4.0,0.95,0.57,,,,-0.026977626417699567,0.007737524883206014,-0.008838311198605009
4,1,225,225,4.5,0.91,0.6,,,,-0.01987009330538713,0.012352832652098179,-0.003658061981591021
4,1,250,250,5.0,0.91,0.55,,,,-0.020214026586158576,0.011833574587177702,-0.004546177352059422
4,2,50,50,1.0,0.78,0.96,,,,-0.023246682851461593,0.032368510778437665,0.004280978825096704
4,2,75,75,1.5,0.74,1.0,,,,-0.020619965492023523,0.029041987016252067,0.0033803843215611806
4,2,100,100,2.0,0.62,0.98,,,,-0.02553748806340682,0.016442129255548648,-0.0052898008853888845
4,2,125,125,2.5,0.63,0.95,,,,-0.020598878376524726,0.016873429789165832,-0.002334117516470058
4,2,150,150,3.0,0.56,0.96,,,,-0.021984767996164556,0.014272676900987151,-0.004186694569046967
4,2,175,175,3.5,0.54,0.95,,,,-0.017362443345635623,0.016679751900760924,-0.0015772346234524948
4,2,200,200,4.0,0.49,0.94,,,,-0.015736166203077124,0.016112453845175834,-0.000862529219146202
4,2,225,225,4.5,0.47,0.92,,,,-0.011049678271981314,0.017562771505910138,0.0021888757575039275
4,2,250,250,5.0,0.49,0.87,,,,-0.008504852198454243,0.018859374155257916,0.005127174785999
4,3,50,50,1.0,0.48,1.0,,,,-0.006305718954248238,0.08510251198964466,0.03992339359986441
4,3,75,75,1.5,0.27,1.0,,,,-0.01291436776730874,0.05990447047505941,0.024797654415301684
4,3,100,100,2.0,0.17,1.0,,,,-0.002627451143627349,0.05899206149242906,0.02859960872460876
4,3,125,125,2.5,0.14,1.0,,,,0.009039145217527508,0.07298959083400242,0.04235079234490979
4,3,150,150,3.0,0.11,1.0,,,,0.010022455322455229,0.06346891771082946,0.037510602142955096
4,3,175,175,3.5,0.1,1.0,,,,0.012652846115136465,0.06467622065143117,0.03970604978588188
4,3,200,200,4.0,0.06,1.0,,,,0.015641051687283886,0.06222363898356645,0.04034690676970121
4,3,225,225,4.5,0.02,1.0,,,,0.022218193707164588,0.06193346629768237,0.04163351789822389
4,3,250,250,5.0,0.02,1.0,,,,0.01656130860152963,0.057225988782459665,0.03650206656089017
1,2,350,350,1.0,0.08,1.0,,,,0.005246178273174279,0.032457378470035984,0.01924577616594436
1,2,525,525,1.5,0.03,1.0,,,,0.0043803053583531815,0.024864345629472415,0.014331010570506897
1,2,700,700,2.0,0.01,0.99,,,,-0.0002753931846641994,0.018437572878799897,0.00958416047071442
1,2,875,875,2.5,0.0,1.0,,,,0.0036428716824701383,0.02172346343198981,0.01287546757630631
1,2,1050,1050,3.0,0.0,1.0,,,,0.0062029875295082255,0.02200347040914069,0.013878069953698668
1,2,1225,1225,3.5,0.0,1.0,,,,0.005580570043534044,0.021147224187710055,0.013311969476434204
1,2,1400,1400,4.0,0.0,1.0,,,,0.006514182122438216,0.020062978813316583,0.013423181277171792
1,2,1575,1575,4.5,0.0,1.0,,,,0.005312444712405943,0.01803741248635888,0.011442388454992014
1,2,1750,1750,5.0,0.0,1.0,,,,0.005694529436482344,0.018281608826512655,0.012008761546576041
1,3,100,100,1.0,0.49,1.0,,,,-0.0040575514558970766,0.05743216197609632,0.027008487427605088
1,3,150,150,1.5,0.28,1.0,,,,0.0023415310724137425,0.056682255639241126,0.02983034721270028
1,3,200,200,2.0,0.19,1.0,,,,-0.0064561738812650635,0.04077620238217718,0.017671681259916694
1,3,250,250,2.5,0.12,1.0,,,,-0.003864269251989544,0.036831009856157296,0.01649643591702432
1,3,300,300,3.0,0.08,1.0,,,,-0.002729889398454484,0.03181946139372745,0.014431229990054084
1,3,350,350,3.5,0.03,1.0,,,,-0.0011659543712588573,0.031694016715078675,0.014879876892482491
1,3,400,400,4.0,0.03,1.0,,,,0.0010024086922076417,0.03080207350860048,0.016281153282992178
1,3,450,450,4.5,0.02,1.0,,,,0.00020144272031688212,0.027241094100163347,0.01345608168157264
1,3,500,500,5.0,0.01,1.0,,,,0.0002894894402994709,0.027193176692589405,0.013818303918304742
2,3,100,100,1.0,0.98,0.84,,,,-0.03121502229388308,0.03101847129586065,0.00041583253347932114
2,3,150,150,1.5,0.96,0.77,,,,-0.023212679967092194,0.029165433368374245,0.0022028575999158972
2,3,200,200,2.0,0.95,0.74,,,,-0.017994700132384214,0.02300190096872009,0.002893887566681186
2,3,250,250,2.5,0.95,0.74,,,,-0.018546303231083576,0.017136278892675296,-0.00019263873381569763
2,3,300,300,3.0,0.92,0.63,,,,-0.0214825928972983,0.011126086862483713,-0.004204809623927552
2,3,350,350,3.5,0.91,0.62,,,,-0.01660290785311864,0.013122910469549831,-0.001454713587066614
2,3,400,400,4.0,0.86,0.53,,,,-0.012826398815644558,0.014571570484254425,6.667189020148623e-05
2,3,450,450,4.5,0.85,0.51,,,,-0.014074010793127211,0.009778920285416354,-0.0014794214500092329
2,3,500,500,5.0,0.85,0.5,,,,-0.013243666480577558,0.010829142658812626,-0.001389222052456951
Unsure,3,50,50,1.0,1.0,0.57,,,,-0.08521495493885195,0.05415526666960506,-0.016562631812631734
Unsure,3,75,75,1.5,1.0,0.43,,,,-0.10202435418611856,0.016990573642044454,-0.04343726426079353
Unsure,3,100,100,2.0,1.0,0.31,,,,-0.0843121239871239,0.008671572341057504,-0.040353615338909465
Unsure,3,125,125,2.5,1.0,0.19,,,,-0.07914375142831119,0.008511622511474567,-0.035545739228092676
Unsure,3,150,150,3.0,1.0,0.16,,,,-0.07264227998308899,0.0019166493909134469,-0.03681857902446195
Unsure,3,175,175,3.5,1.0,0.08,,,,-0.08187741896292333,-0.006298884029136531,-0.04349862555744943
Unsure,3,200,200,4.0,1.0,0.06,,,,-0.0732366299652145,-0.007271642715944118,-0.04051707442883934
Unsure,3,225,225,4.5,1.0,0.04,,,,-0.07722628310324436,-0.014636712543085406,-0.04593276331511653
Unsure,3,250,250,5.0,1.0,0.02,,,,-0.07556459561680182,-0.018522235476941415,-0.04659848288965951
